Time (UTCG),Lat (deg),Lon (deg),Alt (km),Lat Rate (deg/sec),Lon Rate (deg/sec),Alt Rate (km/sec)
00:00.0,-0.018,31.63,578.863002,0.062577,-0.008439,-0.000014
01:00.0,3.737,31.124,578.953135,0.062573,-0.008457,0.003014
02:00.0,7.491,30.615,579.223681,0.062562,-0.008512,0.005991
03:00.0,11.244,30.102,579.669973,0.062542,-0.008605,0.008864
04:00.0,14.996,29.581,580.28432,0.062515,-0.008741,0.011585
05:00.0,18.746,29.052,581.056138,0.062481,-0.008923,0.014106
06:00.0,22.494,28.509,581.972143,0.06244,-0.00916,0.016384
07:00.0,26.239,27.951,583.016587,0.062392,-0.009461,0.018381
08:00.0,29.98,27.373,584.171535,0.062337,-0.009839,0.020062
09:00.0,33.719,26.769,585.417182,0.062276,-0.010313,0.0214
10:00.0,37.453,26.133,586.7322,0.062209,-0.010908,0.022371
11:00.0,41.184,25.456,588.094108,0.062134,-0.01166,0.022961
12:00.0,44.909,24.729,589.479665,0.062051,-0.012621,0.023159
13:00.0,48.63,23.936,590.865264,0.061959,-0.013865,0.022962
14:00.0,52.344,23.057,592.227339,0.061855,-0.015507,0.022376
15:00.0,56.052,22.064,593.542765,0.061732,-0.017726,0.02141
16:00.0,59.751,20.913,594.789245,0.061582,-0.020815,0.020081
17:00.0,63.441,19.539,595.945684,0.061387,-0.025282,0.018413
18:00.0,67.116,17.834,596.992539,0.061116,-0.032063,0.016433
19:00.0,70.772,15.609,597.912147,0.060704,-0.043035,0.014177
20:00.0,74.395,12.505,598.689007,0.060001,-0.062392,0.011682
21:00.0,77.959,7.75,599.310038,0.05861,-0.100937,0.00899
22:00.0,81.391,-0.611,599.764795,0.055224,-0.192041,0.006147
23:00.0,84.443,-18.554,600.045632,0.044155,-0.453129,0.003201
24:00.0,86.097,-60.74,600.14783,0.003933,-0.912593,0.000201
25:00.0,84.785,-106.387,600.069673,-0.041163,-0.513756,-0.002803
26:00.0,81.83,-126.578,599.812472,-0.054433,-0.212619,-0.005759
27:00.0,78.427,-135.719,599.380551,-0.058324,-0.108804,-0.008618
28:00.0,74.875,-140.799,598.781168,-0.059869,-0.06605,-0.011333
29:00.0,71.258,-144.064,598.024408,-0.060632,-0.044996,-0.013857
30:00.0,67.606,-146.38,597.123008,-0.061072,-0.033227,-0.016147
31:00.0,63.932,-148.141,596.09216,-0.061356,-0.026025,-0.018166
32:00.0,60.245,-149.552,594.949256,-0.061559,-0.021317,-0.019877
33:00.0,56.546,-150.729,593.713605,-0.061714,-0.018079,-0.021253
34:00.0,52.84,-151.74,592.406115,-0.061839,-0.015765,-0.022268
35:00.0,49.126,-152.632,591.048943,-0.061946,-0.014058,-0.022906
36:00.0,45.406,-153.435,589.665127,-0.06204,-0.012768,-0.023155
37:00.0,41.681,-154.171,588.278196,-0.062123,-0.011775,-0.02301
38:00.0,37.952,-154.853,586.911775,-0.062199,-0.010999,-0.022472
39:00.0,34.218,-155.494,585.589178,-0.062267,-0.010385,-0.021551
40:00.0,30.48,-156.102,584.333009,-0.062329,-0.009897,-0.020261
41:00.0,26.738,-156.683,583.164772,-0.062385,-0.009507,-0.018624
42:00.0,22.994,-157.244,582.104497,-0.062434,-0.009197,-0.016668
43:00.0,19.246,-157.788,581.170386,-0.062476,-0.008952,-0.014425
44:00.0,15.497,-158.319,580.378498,-0.062511,-0.008762,-0.011934
45:00.0,11.745,-158.841,579.742459,-0.062539,-0.008621,-0.009237
46:00.0,7.992,-159.355,579.273225,-0.062559,-0.008522,-0.006381
47:00.0,4.238,-159.864,578.978884,-0.062572,-0.008462,-0.003416
