The sensor is not targeted.


"Time (UTCG)","Angle (deg)","AngleRate (deg/sec)"
18 Jan 2021 17:00:00.000,70.297,0.138765
18 Jan 2021 17:01:00.000,78.846,0.145505
18 Jan 2021 17:02:00.000,87.670,0.147868
18 Jan 2021 17:03:00.000,96.498,0.145657
18 Jan 2021 17:04:00.000,105.067,0.139383
18 Jan 2021 17:05:00.000,113.163,0.130085
18 Jan 2021 17:06:00.000,120.641,0.118987
18 Jan 2021 17:07:00.000,127.428,0.107194
18 Jan 2021 17:08:00.000,133.508,0.095537
18 Jan 2021 17:09:00.000,138.906,0.084564
18 Jan 2021 17:10:00.000,143.675,0.074591
18 Jan 2021 17:11:00.000,147.880,0.065763
18 Jan 2021 17:12:00.000,151.590,0.058105
18 Jan 2021 17:13:00.000,154.875,0.051559
18 Jan 2021 17:14:00.000,157.798,0.046028
18 Jan 2021 17:15:00.000,160.417,0.041412
18 Jan 2021 17:16:00.000,162.784,0.037632
18 Jan 2021 17:17:00.000,164.948,0.034637
18 Jan 2021 17:18:00.000,166.955,0.032385
18 Jan 2021 17:19:00.000,168.848,0.030813
18 Jan 2021 17:20:00.000,170.665,0.029829
18 Jan 2021 17:21:00.000,172.437,0.029311
18 Jan 2021 17:22:00.000,174.188,0.029115
18 Jan 2021 17:23:00.000,175.932,0.028994
18 Jan 2021 17:24:00.000,177.648,0.027715
18 Jan 2021 17:25:00.000,178.960,0.007658
18 Jan 2021 17:26:00.000,178.015,-0.028855
18 Jan 2021 17:27:00.000,176.088,-0.034366
18 Jan 2021 17:28:00.000,173.932,-0.037404
18 Jan 2021 17:29:00.000,171.605,-0.040109
18 Jan 2021 17:30:00.000,169.123,-0.042580
18 Jan 2021 17:31:00.000,166.503,-0.044712
18 Jan 2021 17:32:00.000,163.766,-0.046430
18 Jan 2021 17:33:00.000,160.939,-0.047753
18 Jan 2021 17:34:00.000,158.041,-0.048809
18 Jan 2021 17:35:00.000,155.083,-0.049819
18 Jan 2021 17:36:00.000,152.058,-0.051073
18 Jan 2021 17:37:00.000,148.943,-0.052893
18 Jan 2021 17:38:00.000,145.693,-0.055600
18 Jan 2021 17:39:00.000,142.247,-0.059485
18 Jan 2021 17:40:00.000,138.527,-0.064780
18 Jan 2021 17:41:00.000,134.443,-0.071622
18 Jan 2021 17:42:00.000,129.901,-0.079999
18 Jan 2021 17:43:00.000,124.816,-0.089687
18 Jan 2021 17:44:00.000,119.123,-0.100182
18 Jan 2021 17:45:00.000,112.795,-0.110661
18 Jan 2021 17:46:00.000,105.865,-0.120028
18 Jan 2021 17:47:00.000,98.438,-0.127075
18 Jan 2021 17:48:00.000,90.684,-0.130773
18 Jan 2021 17:49:00.000,82.823,-0.130600
18 Jan 2021 17:50:00.000,75.087,-0.126708
18 Jan 2021 17:51:00.000,67.678,-0.119834
18 Jan 2021 17:52:00.000,60.745,-0.111012
18 Jan 2021 17:53:00.000,54.375,-0.101260
18 Jan 2021 17:54:00.000,48.596,-0.091392
18 Jan 2021 17:55:00.000,43.399,-0.081968
18 Jan 2021 17:56:00.000,38.744,-0.073332
18 Jan 2021 17:57:00.000,34.579,-0.065675
18 Jan 2021 17:58:00.000,30.842,-0.059078
18 Jan 2021 17:59:00.000,27.469,-0.053540
18 Jan 2021 18:00:00.000,24.398,-0.048979
18 Jan 2021 18:01:00.000,21.575,-0.045226
18 Jan 2021 18:02:00.000,18.960,-0.042012
18 Jan 2021 18:03:00.000,16.531,-0.038941
18 Jan 2021 18:04:00.000,14.295,-0.035436
18 Jan 2021 18:05:00.000,12.304,-0.030653
18 Jan 2021 18:06:00.000,10.666,-0.023444
18 Jan 2021 18:07:00.000,9.560,-0.012800
18 Jan 2021 18:08:00.000,9.189,0.000708
18 Jan 2021 18:09:00.000,9.641,0.014017
18 Jan 2021 18:10:00.000,10.804,0.024104
18 Jan 2021 18:11:00.000,12.456,0.030358
18 Jan 2021 18:12:00.000,14.387,0.033604
18 Jan 2021 18:13:00.000,16.447,0.034749
18 Jan 2021 18:14:00.000,18.527,0.034401
18 Jan 2021 18:15:00.000,20.552,0.032898
18 Jan 2021 18:16:00.000,22.455,0.030398
18 Jan 2021 18:17:00.000,24.181,0.026953
18 Jan 2021 18:18:00.000,25.671,0.022584
18 Jan 2021 18:19:00.000,26.873,0.017353
18 Jan 2021 18:20:00.000,27.740,0.011438
18 Jan 2021 18:21:00.000,28.239,0.005187
18 Jan 2021 18:22:00.000,28.366,-0.000854
18 Jan 2021 18:23:00.000,28.155,-0.005951
18 Jan 2021 18:24:00.000,27.689,-0.009232
18 Jan 2021 18:25:00.000,27.102,-0.009788
18 Jan 2021 18:26:00.000,26.584,-0.006841
18 Jan 2021 18:27:00.000,26.360,0.000032
18 Jan 2021 18:28:00.000,26.664,0.010706
18 Jan 2021 18:29:00.000,27.707,0.024496
18 Jan 2021 18:30:00.000,29.646,0.040373
18 Jan 2021 18:31:00.000,32.573,0.057312
18 Jan 2021 18:32:00.000,36.528,0.074530
18 Jan 2021 18:33:00.000,41.512,0.091513
18 Jan 2021 18:34:00.000,47.497,0.107863
18 Jan 2021 18:35:00.000,54.433,0.123067
18 Jan 2021 18:36:00.000,62.227,0.136328
18 Jan 2021 18:37:00.000,70.731,0.146542
18 Jan 2021 18:38:00.000,79.727,0.152538
18 Jan 2021 18:39:00.000,88.935,0.153518
18 Jan 2021 18:40:00.000,98.048,0.149475
18 Jan 2021 18:41:00.000,106.788,0.141258
18 Jan 2021 18:42:00.000,114.944,0.130251
18 Jan 2021 18:43:00.000,122.392,0.117899
18 Jan 2021 18:44:00.000,129.088,0.105370
18 Jan 2021 18:45:00.000,135.048,0.093447
18 Jan 2021 18:46:00.000,140.323,0.082566
18 Jan 2021 18:47:00.000,144.981,0.072912
18 Jan 2021 18:48:00.000,149.097,0.064511
18 Jan 2021 18:49:00.000,152.746,0.057300
18 Jan 2021 18:50:00.000,155.995,0.051183
18 Jan 2021 18:51:00.000,158.908,0.046061
18 Jan 2021 18:52:00.000,161.541,0.041851
18 Jan 2021 18:53:00.000,163.947,0.038487
18 Jan 2021 18:54:00.000,166.175,0.035906
18 Jan 2021 18:55:00.000,168.270,0.034038
18 Jan 2021 18:56:00.000,170.272,0.032796
18 Jan 2021 18:57:00.000,172.216,0.032091
18 Jan 2021 18:58:00.000,174.132,0.031833
18 Jan 2021 18:59:00.000,176.042,0.031868
18 Jan 2021 19:00:00.000,177.946,0.031194
18 Jan 2021 19:01:00.000,179.294,-0.004664
18 Jan 2021 19:02:00.000,177.678,-0.034538
18 Jan 2021 19:03:00.000,175.496,-0.037887
18 Jan 2021 19:04:00.000,173.143,-0.040499
18 Jan 2021 19:05:00.000,170.638,-0.042987
18 Jan 2021 19:06:00.000,167.989,-0.045282
18 Jan 2021 19:07:00.000,165.210,-0.047282
18 Jan 2021 19:08:00.000,162.322,-0.048947
18 Jan 2021 19:09:00.000,159.342,-0.050336
18 Jan 2021 19:10:00.000,156.284,-0.051606
18 Jan 2021 19:11:00.000,153.147,-0.052997
18 Jan 2021 19:12:00.000,149.916,-0.054798
18 Jan 2021 19:13:00.000,146.557,-0.057314
18 Jan 2021 19:14:00.000,143.019,-0.060822
18 Jan 2021 19:15:00.000,139.234,-0.065541
18 Jan 2021 19:16:00.000,135.127,-0.071603
18 Jan 2021 19:17:00.000,130.614,-0.079029
18 Jan 2021 19:18:00.000,125.619,-0.087685
18 Jan 2021 19:19:00.000,120.074,-0.097227
18 Jan 2021 19:20:00.000,113.946,-0.107047
18 Jan 2021 19:21:00.000,107.241,-0.116260
18 Jan 2021 19:22:00.000,100.028,-0.123792
18 Jan 2021 19:23:00.000,92.440,-0.128602
18 Jan 2021 19:24:00.000,84.665,-0.129980
18 Jan 2021 19:25:00.000,76.915,-0.127784
18 Jan 2021 19:26:00.000,69.394,-0.122459
18 Jan 2021 19:27:00.000,62.265,-0.114853
18 Jan 2021 19:28:00.000,55.638,-0.105925
18 Jan 2021 19:29:00.000,49.564,-0.096526
18 Jan 2021 19:30:00.000,44.051,-0.087293
18 Jan 2021 19:31:00.000,39.077,-0.078649
18 Jan 2021 19:32:00.000,34.596,-0.070843
18 Jan 2021 19:33:00.000,30.556,-0.064005
18 Jan 2021 19:34:00.000,26.895,-0.058180
18 Jan 2021 19:35:00.000,23.554,-0.053355
18 Jan 2021 19:36:00.000,20.474,-0.049464
18 Jan 2021 19:37:00.000,17.603,-0.046375
18 Jan 2021 19:38:00.000,14.898,-0.043856
18 Jan 2021 19:39:00.000,12.336,-0.041493
18 Jan 2021 19:40:00.000,9.931,-0.038477
18 Jan 2021 19:41:00.000,7.766,-0.033052
18 Jan 2021 19:42:00.000,6.086,-0.021496
18 Jan 2021 19:43:00.000,5.386,-0.000473
18 Jan 2021 19:44:00.000,6.042,0.021115
18 Jan 2021 19:45:00.000,7.720,0.033268
18 Jan 2021 19:46:00.000,9.897,0.038504
18 Jan 2021 19:47:00.000,12.274,0.040364
18 Jan 2021 19:48:00.000,14.706,0.040460
18 Jan 2021 19:49:00.000,17.108,0.039443
18 Jan 2021 19:50:00.000,19.422,0.037566
18 Jan 2021 19:51:00.000,21.599,0.034886
18 Jan 2021 19:52:00.000,23.591,0.031358
18 Jan 2021 19:53:00.000,25.344,0.026896
18 Jan 2021 19:54:00.000,26.799,0.021458
18 Jan 2021 19:55:00.000,27.901,0.015151
18 Jan 2021 19:56:00.000,28.607,0.008347
18 Jan 2021 19:57:00.000,28.907,0.001747
18 Jan 2021 19:58:00.000,28.840,-0.003669
18 Jan 2021 19:59:00.000,28.511,-0.006855
18 Jan 2021 20:00:00.000,28.078,-0.007035
18 Jan 2021 20:01:00.000,27.732,-0.003977
18 Jan 2021 20:02:00.000,27.659,0.001975
18 Jan 2021 20:03:00.000,28.013,0.010141
18 Jan 2021 20:04:00.000,28.906,0.019836
18 Jan 2021 20:05:00.000,30.415,0.030614
18 Jan 2021 20:06:00.000,32.598,0.042305
18 Jan 2021 20:07:00.000,35.510,0.054921
18 Jan 2021 20:08:00.000,39.208,0.068485
18 Jan 2021 20:09:00.000,43.746,0.082893
18 Jan 2021 20:10:00.000,49.165,0.097807
18 Jan 2021 20:11:00.000,55.480,0.112596
18 Jan 2021 20:12:00.000,62.655,0.126295
18 Jan 2021 20:13:00.000,70.589,0.137658
18 Jan 2021 20:14:00.000,79.101,0.145354
18 Jan 2021 20:15:00.000,87.937,0.148357
18 Jan 2021 20:16:00.000,96.803,0.146355
18 Jan 2021 20:17:00.000,105.410,0.139915
18 Jan 2021 20:18:00.000,113.528,0.130268
