"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
18 Jan 2021 17:00:00.000,-0.018,31.630,578.863002,0.062577,-0.008439,-0.000014
18 Jan 2021 17:01:00.000,3.737,31.124,578.953135,0.062573,-0.008457,0.003014
18 Jan 2021 17:02:00.000,7.491,30.615,579.223681,0.062562,-0.008512,0.005991
18 Jan 2021 17:03:00.000,11.244,30.102,579.669973,0.062542,-0.008605,0.008864
18 Jan 2021 17:04:00.000,14.996,29.581,580.284320,0.062515,-0.008741,0.011585
18 Jan 2021 17:05:00.000,18.746,29.052,581.056138,0.062481,-0.008923,0.014106
18 Jan 2021 17:06:00.000,22.494,28.509,581.972143,0.062440,-0.009160,0.016384
18 Jan 2021 17:07:00.000,26.239,27.951,583.016587,0.062392,-0.009461,0.018381
18 Jan 2021 17:08:00.000,29.980,27.373,584.171535,0.062337,-0.009839,0.020062
18 Jan 2021 17:09:00.000,33.719,26.769,585.417182,0.062276,-0.010313,0.021400
18 Jan 2021 17:10:00.000,37.453,26.133,586.732200,0.062209,-0.010908,0.022371
18 Jan 2021 17:11:00.000,41.184,25.456,588.094108,0.062134,-0.011660,0.022961
18 Jan 2021 17:12:00.000,44.909,24.729,589.479665,0.062051,-0.012621,0.023159
18 Jan 2021 17:13:00.000,48.630,23.936,590.865264,0.061959,-0.013865,0.022962
18 Jan 2021 17:14:00.000,52.344,23.057,592.227339,0.061855,-0.015507,0.022376
18 Jan 2021 17:15:00.000,56.052,22.064,593.542765,0.061732,-0.017726,0.021410
18 Jan 2021 17:16:00.000,59.751,20.913,594.789245,0.061582,-0.020815,0.020081
18 Jan 2021 17:17:00.000,63.441,19.539,595.945684,0.061387,-0.025282,0.018413
18 Jan 2021 17:18:00.000,67.116,17.834,596.992539,0.061116,-0.032063,0.016433
18 Jan 2021 17:19:00.000,70.772,15.609,597.912147,0.060704,-0.043035,0.014177
18 Jan 2021 17:20:00.000,74.395,12.505,598.689007,0.060001,-0.062392,0.011682
18 Jan 2021 17:21:00.000,77.959,7.750,599.310038,0.058610,-0.100937,0.008990
18 Jan 2021 17:22:00.000,81.391,-0.611,599.764795,0.055224,-0.192041,0.006147
18 Jan 2021 17:23:00.000,84.443,-18.554,600.045632,0.044155,-0.453129,0.003201
18 Jan 2021 17:24:00.000,86.097,-60.740,600.147830,0.003933,-0.912593,0.000201
18 Jan 2021 17:25:00.000,84.785,-106.387,600.069673,-0.041163,-0.513756,-0.002803
18 Jan 2021 17:26:00.000,81.830,-126.578,599.812472,-0.054433,-0.212619,-0.005759
18 Jan 2021 17:27:00.000,78.427,-135.719,599.380551,-0.058324,-0.108804,-0.008618
18 Jan 2021 17:28:00.000,74.875,-140.799,598.781168,-0.059869,-0.066050,-0.011333
18 Jan 2021 17:29:00.000,71.258,-144.064,598.024408,-0.060632,-0.044996,-0.013857
18 Jan 2021 17:30:00.000,67.606,-146.380,597.123008,-0.061072,-0.033227,-0.016147
18 Jan 2021 17:31:00.000,63.932,-148.141,596.092160,-0.061356,-0.026025,-0.018166
18 Jan 2021 17:32:00.000,60.245,-149.552,594.949256,-0.061559,-0.021317,-0.019877
18 Jan 2021 17:33:00.000,56.546,-150.729,593.713605,-0.061714,-0.018079,-0.021253
18 Jan 2021 17:34:00.000,52.840,-151.740,592.406115,-0.061839,-0.015765,-0.022268
18 Jan 2021 17:35:00.000,49.126,-152.632,591.048943,-0.061946,-0.014058,-0.022906
18 Jan 2021 17:36:00.000,45.406,-153.435,589.665127,-0.062040,-0.012768,-0.023155
18 Jan 2021 17:37:00.000,41.681,-154.171,588.278196,-0.062123,-0.011775,-0.023010
18 Jan 2021 17:38:00.000,37.952,-154.853,586.911775,-0.062199,-0.010999,-0.022472
18 Jan 2021 17:39:00.000,34.218,-155.494,585.589178,-0.062267,-0.010385,-0.021551
18 Jan 2021 17:40:00.000,30.480,-156.102,584.333009,-0.062329,-0.009897,-0.020261
18 Jan 2021 17:41:00.000,26.738,-156.683,583.164772,-0.062385,-0.009507,-0.018624
18 Jan 2021 17:42:00.000,22.994,-157.244,582.104497,-0.062434,-0.009197,-0.016668
18 Jan 2021 17:43:00.000,19.246,-157.788,581.170386,-0.062476,-0.008952,-0.014425
18 Jan 2021 17:44:00.000,15.497,-158.319,580.378498,-0.062511,-0.008762,-0.011934
18 Jan 2021 17:45:00.000,11.745,-158.841,579.742459,-0.062539,-0.008621,-0.009237
18 Jan 2021 17:46:00.000,7.992,-159.355,579.273225,-0.062559,-0.008522,-0.006381
18 Jan 2021 17:47:00.000,4.238,-159.864,578.978884,-0.062572,-0.008462,-0.003416
18 Jan 2021 17:48:00.000,0.484,-160.371,578.864511,-0.062577,-0.008439,-0.000391
18 Jan 2021 17:49:00.000,-3.271,-160.877,578.932080,-0.062574,-0.008453,0.002640
18 Jan 2021 17:50:00.000,-7.025,-161.386,579.180424,-0.062563,-0.008503,0.005626
18 Jan 2021 17:51:00.000,-10.778,-161.898,579.605261,-0.062545,-0.008591,0.008515
18 Jan 2021 17:52:00.000,-14.530,-162.418,580.199267,-0.062519,-0.008721,0.011257
18 Jan 2021 17:53:00.000,-18.281,-162.946,580.952208,-0.062486,-0.008898,0.013805
18 Jan 2021 17:54:00.000,-22.029,-163.486,581.851126,-0.062445,-0.009128,0.016116
18 Jan 2021 17:55:00.000,-25.774,-164.042,582.880561,-0.062398,-0.009420,0.018150
18 Jan 2021 17:56:00.000,-29.516,-164.618,584.022835,-0.062344,-0.009788,0.019872
18 Jan 2021 17:57:00.000,-33.255,-165.219,585.258357,-0.062284,-0.010249,0.021253
18 Jan 2021 17:58:00.000,-36.990,-165.850,586.565967,-0.062217,-0.010827,0.022271
18 Jan 2021 17:59:00.000,-40.721,-166.521,587.923307,-0.062144,-0.011557,0.022909
18 Jan 2021 18:00:00.000,-44.447,-167.241,589.307208,-0.062062,-0.012488,0.023156
18 Jan 2021 18:01:00.000,-48.168,-168.025,590.694087,-0.061971,-0.013692,0.023008
18 Jan 2021 18:02:00.000,-51.884,-168.892,592.060352,-0.061868,-0.015276,0.022470
18 Jan 2021 18:03:00.000,-55.592,-169.869,593.382801,-0.061748,-0.017410,0.021550
18 Jan 2021 18:04:00.000,-59.293,-170.998,594.639012,-0.061602,-0.020370,0.020265
18 Jan 2021 18:05:00.000,-62.984,-172.339,595.807724,-0.061414,-0.024627,0.018637
18 Jan 2021 18:06:00.000,-66.661,-173.995,596.869182,-0.061156,-0.031046,0.016695
18 Jan 2021 18:07:00.000,-70.320,-176.141,597.805473,-0.060767,-0.041339,0.014471
18 Jan 2021 18:08:00.000,-73.948,-179.106,598.600812,-0.060113,-0.059276,0.012003
18 Jan 2021 18:09:00.000,-77.521,176.413,599.241808,-0.058848,-0.094375,0.009333
18 Jan 2021 18:10:00.000,-80.977,168.691,599.717677,-0.055859,-0.175342,0.006507
18 Jan 2021 18:11:00.000,-84.106,152.567,600.020418,-0.046469,-0.403321,0.003571
18 Jan 2021 18:12:00.000,-86.041,113.912,600.144943,-0.011087,-0.887065,0.000574
18 Jan 2021 18:13:00.000,-85.080,65.605,600.089161,0.037824,-0.576400,-0.002431
18 Jan 2021 18:14:00.000,-82.232,43.021,599.854009,0.053574,-0.234610,-0.005396
18 Jan 2021 18:15:00.000,-78.860,33.057,599.443438,0.058026,-0.116983,-0.008270
18 Jan 2021 18:16:00.000,-75.321,27.642,598.864349,0.059735,-0.069769,-0.011006
18 Jan 2021 18:17:00.000,-71.709,24.214,598.126481,0.060560,-0.046960,-0.013556
18 Jan 2021 18:18:00.000,-68.060,21.808,597.242256,0.061028,-0.034378,-0.015877
18 Jan 2021 18:19:00.000,-64.389,19.991,596.226571,0.061326,-0.026755,-0.017931
18 Jan 2021 18:20:00.000,-60.703,18.544,595.096562,0.061537,-0.021806,-0.019683
18 Jan 2021 18:21:00.000,-57.006,17.343,593.871316,0.061696,-0.018423,-0.021101
18 Jan 2021 18:22:00.000,-53.300,16.314,592.571560,0.061825,-0.016014,-0.022163
18 Jan 2021 18:23:00.000,-49.587,15.409,591.219317,0.061934,-0.014244,-0.022848
18 Jan 2021 18:24:00.000,-45.868,14.596,589.837535,0.062029,-0.012910,-0.023146
18 Jan 2021 18:25:00.000,-42.144,13.854,588.449705,0.062113,-0.011885,-0.023049
18 Jan 2021 18:26:00.000,-38.415,13.165,587.079460,0.062190,-0.011085,-0.022560
18 Jan 2021 18:27:00.000,-34.681,12.520,585.750177,0.062259,-0.010454,-0.021686
18 Jan 2021 18:28:00.000,-30.944,11.908,584.484568,0.062322,-0.009951,-0.020441
18 Jan 2021 18:29:00.000,-27.203,11.324,583.304295,0.062378,-0.009551,-0.018845
18 Jan 2021 18:30:00.000,-23.459,10.761,582.229590,0.062428,-0.009231,-0.016927
18 Jan 2021 18:31:00.000,-19.712,10.215,581.278900,0.062471,-0.008979,-0.014717
18 Jan 2021 18:32:00.000,-15.962,9.682,580.468567,0.062507,-0.008783,-0.012255
18 Jan 2021 18:33:00.000,-12.211,9.160,579.812533,0.062536,-0.008636,-0.009581
18 Jan 2021 18:34:00.000,-8.458,8.645,579.322096,0.062557,-0.008532,-0.006743
18 Jan 2021 18:35:00.000,-4.704,8.135,579.005709,0.062571,-0.008467,-0.003788
18 Jan 2021 18:36:00.000,-0.950,7.628,578.868828,0.062577,-0.008440,-0.000768
18 Jan 2021 18:37:00.000,2.805,7.122,578.913813,0.062575,-0.008449,0.002265
18 Jan 2021 18:38:00.000,6.559,6.614,579.139890,0.062565,-0.008494,0.005260
18 Jan 2021 18:39:00.000,10.313,6.102,579.543158,0.062548,-0.008578,0.008163
18 Jan 2021 18:40:00.000,14.065,5.583,580.116665,0.062523,-0.008703,0.010926
18 Jan 2021 18:41:00.000,17.815,5.056,580.850531,0.062490,-0.008873,0.013501
18 Jan 2021 18:42:00.000,21.563,4.518,581.732122,0.062451,-0.009096,0.015843
18 Jan 2021 18:43:00.000,25.309,3.964,582.746276,0.062404,-0.009380,0.017913
18 Jan 2021 18:44:00.000,29.052,3.390,583.875574,0.062351,-0.009737,0.019676
18 Jan 2021 18:45:00.000,32.791,2.793,585.100644,0.062292,-0.010186,0.021101
18 Jan 2021 18:46:00.000,36.527,2.166,586.400501,0.062226,-0.010748,0.022165
18 Jan 2021 18:47:00.000,40.258,1.501,587.752915,0.062153,-0.011457,0.022851
18 Jan 2021 18:48:00.000,43.985,0.787,589.134797,0.062073,-0.012359,0.023146
18 Jan 2021 18:49:00.000,47.707,0.012,590.522592,0.061983,-0.013524,0.023048
18 Jan 2021 18:50:00.000,51.423,-0.843,591.892689,0.061882,-0.015054,0.022557
18 Jan 2021 18:51:00.000,55.132,-1.805,593.221814,0.061764,-0.017108,0.021684
18 Jan 2021 18:52:00.000,58.834,-2.911,594.487430,0.061622,-0.019944,0.020443
18 Jan 2021 18:53:00.000,62.526,-4.222,595.668109,0.061441,-0.024004,0.018857
18 Jan 2021 18:54:00.000,66.206,-5.832,596.743894,0.061193,-0.030086,0.016952
18 Jan 2021 18:55:00.000,69.867,-7.903,597.696624,0.060826,-0.039754,0.014761
18 Jan 2021 18:56:00.000,73.500,-10.739,598.510237,0.060217,-0.056405,0.012321
18 Jan 2021 18:57:00.000,77.082,-14.971,599.171031,0.059062,-0.088447,0.009674
18 Jan 2021 18:58:00.000,80.559,-22.123,599.667888,0.056412,-0.160645,0.006864
18 Jan 2021 18:59:00.000,83.752,-36.660,599.992454,0.048410,-0.359593,0.003939
