                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
------    ------------------------    ------------------------    --------------    -----------    ---------------    -----------    ----------    --------------------    ----------------    --------------------------
     1     2 Jan 2025 08:08:18.971     2 Jan 2025 08:24:08.025           949.053    Satellite12    Satellite12        1               44.444444          1963085.320590           44.444444                1963085.320590
     2     2 Jan 2025 09:42:38.982     2 Jan 2025 09:59:11.154           992.172    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
     3     2 Jan 2025 11:17:05.873     2 Jan 2025 11:33:55.239          1009.365    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
     4     2 Jan 2025 12:51:48.957     2 Jan 2025 13:08:14.468           985.511    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
     5     3 Jan 2025 07:49:28.086     3 Jan 2025 08:04:53.471           925.385    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
     6     3 Jan 2025 09:23:50.628     3 Jan 2025 09:40:16.559           985.930    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
     7     3 Jan 2025 10:58:10.103     3 Jan 2025 11:15:00.418          1010.315    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
     8     3 Jan 2025 12:32:53.169     3 Jan 2025 12:49:34.386          1001.217    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
     9     4 Jan 2025 07:30:36.649     4 Jan 2025 07:45:30.053           893.404    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    10     4 Jan 2025 09:05:01.783     4 Jan 2025 09:21:21.753           979.970    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    11     4 Jan 2025 10:39:14.312     4 Jan 2025 10:56:06.694          1012.382    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    12     4 Jan 2025 12:13:57.359     4 Jan 2025 12:30:48.798          1011.439    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    13     4 Jan 2025 13:48:40.391     4 Jan 2025 13:53:40.143           299.752    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    14     5 Jan 2025 07:11:44.637     5 Jan 2025 07:25:55.826           851.188    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    15     5 Jan 2025 08:46:12.442     5 Jan 2025 09:02:28.180           975.738    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    16     5 Jan 2025 10:20:27.447     5 Jan 2025 10:37:12.888          1005.441    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
