"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2025 19:17:10.506,1 Jan 2025 19:25:05.665,475.159
2,1 Jan 2025 20:48:33.917,1 Jan 2025 21:00:06.454,692.536
3,1 Jan 2025 22:26:05.317,1 Jan 2025 22:31:22.222,316.905
4,2 Jan 2025 18:59:54.116,2 Jan 2025 19:05:29.308,335.192
5,2 Jan 2025 20:29:54.126,2 Jan 2025 20:41:22.956,688.830
6,2 Jan 2025 22:05:45.049,2 Jan 2025 22:13:50.661,485.612
7,3 Jan 2025 20:11:25.926,3 Jan 2025 20:22:33.493,667.567
8,3 Jan 2025 21:46:03.717,3 Jan 2025 21:55:46.249,582.532
9,4 Jan 2025 19:53:09.886,4 Jan 2025 20:03:37.660,627.774
10,4 Jan 2025 21:26:43.568,4 Jan 2025 21:37:26.433,642.865
11,5 Jan 2025 19:35:07.635,5 Jan 2025 19:44:34.076,566.441
12,5 Jan 2025 21:07:38.888,5 Jan 2025 21:18:56.738,677.850
13,6 Jan 2025 19:17:22.876,6 Jan 2025 19:25:19.321,476.444
14,6 Jan 2025 20:48:47.136,6 Jan 2025 21:00:19.611,692.475
15,6 Jan 2025 22:26:20.099,6 Jan 2025 22:31:34.160,314.061
16,7 Jan 2025 19:00:06.017,7 Jan 2025 19:05:43.352,337.334
17,7 Jan 2025 20:30:07.209,7 Jan 2025 20:41:36.183,688.975
18,7 Jan 2025 22:05:59.092,7 Jan 2025 22:14:03.259,484.166
19,8 Jan 2025 20:11:38.870,8 Jan 2025 20:22:46.791,667.921
20,8 Jan 2025 21:46:17.450,8 Jan 2025 21:55:59.088,581.638
21,9 Jan 2025 19:53:22.681,9 Jan 2025 20:03:51.039,628.358
22,9 Jan 2025 21:26:57.094,9 Jan 2025 21:37:39.411,642.317
23,10 Jan 2025 19:35:20.251,10 Jan 2025 19:44:47.559,567.308
24,10 Jan 2025 21:07:52.251,10 Jan 2025 21:19:09.814,677.563
25,11 Jan 2025 19:17:35.249,11 Jan 2025 19:25:32.971,477.722
26,11 Jan 2025 20:49:00.355,11 Jan 2025 21:00:32.766,692.411
27,11 Jan 2025 22:26:34.892,11 Jan 2025 22:31:46.080,311.188
28,12 Jan 2025 19:00:17.926,12 Jan 2025 19:05:57.386,339.460
29,12 Jan 2025 20:30:20.291,12 Jan 2025 20:41:49.409,689.118
30,12 Jan 2025 22:06:13.139,12 Jan 2025 22:14:15.851,482.712
31,13 Jan 2025 20:11:51.815,13 Jan 2025 20:23:00.088,668.273
32,13 Jan 2025 21:46:31.185,13 Jan 2025 21:56:11.923,580.738
33,14 Jan 2025 19:53:35.476,14 Jan 2025 20:04:04.416,628.940
34,14 Jan 2025 21:27:10.622,14 Jan 2025 21:37:52.387,641.765
35,15 Jan 2025 19:35:32.872,15 Jan 2025 19:45:01.037,568.165
36,15 Jan 2025 21:08:05.616,15 Jan 2025 21:19:22.885,677.269
37,16 Jan 2025 19:17:47.628,16 Jan 2025 19:25:46.622,478.994
38,16 Jan 2025 20:49:13.577,16 Jan 2025 21:00:45.921,692.343
39,16 Jan 2025 22:26:49.701,16 Jan 2025 22:31:57.984,308.283
