"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2025 17:51:39.816,1 Jan 2025 17:51:54.073,14.257
2,1 Jan 2025 19:26:24.197,1 Jan 2025 19:26:41.300,17.103
3,2 Jan 2025 19:07:29.982,2 Jan 2025 19:07:57.024,27.042
4,3 Jan 2025 18:48:35.768,3 Jan 2025 18:49:08.122,32.355
5,4 Jan 2025 18:29:41.553,4 Jan 2025 18:30:14.351,32.798
6,5 Jan 2025 18:10:47.339,5 Jan 2025 18:11:14.855,27.516
7,5 Jan 2025 19:45:31.728,5 Jan 2025 19:45:33.813,2.085
8,6 Jan 2025 17:51:53.125,6 Jan 2025 17:52:07.610,14.485
9,6 Jan 2025 19:26:37.511,6 Jan 2025 19:26:54.473,16.962
10,7 Jan 2025 19:07:43.298,7 Jan 2025 19:08:10.257,26.959
11,8 Jan 2025 18:48:49.085,8 Jan 2025 18:49:21.406,32.321
12,9 Jan 2025 18:29:54.871,9 Jan 2025 18:30:27.697,32.826
13,10 Jan 2025 18:11:00.657,10 Jan 2025 18:11:28.270,27.613
14,10 Jan 2025 19:45:45.046,10 Jan 2025 19:45:46.920,1.874
15,11 Jan 2025 17:52:06.443,11 Jan 2025 17:52:21.140,14.697
16,11 Jan 2025 19:26:50.828,11 Jan 2025 19:27:07.645,16.817
17,12 Jan 2025 19:07:56.614,12 Jan 2025 19:08:23.483,26.870
18,13 Jan 2025 18:49:02.400,13 Jan 2025 18:49:34.687,32.288
19,14 Jan 2025 18:30:08.185,14 Jan 2025 18:30:41.039,32.855
20,15 Jan 2025 18:11:13.970,15 Jan 2025 18:11:41.688,27.718
21,15 Jan 2025 19:45:58.360,15 Jan 2025 19:46:00.030,1.671
22,16 Jan 2025 17:52:19.756,16 Jan 2025 17:52:34.669,14.913
23,16 Jan 2025 19:27:04.142,16 Jan 2025 19:27:20.817,16.675
24,17 Jan 2025 19:08:09.927,17 Jan 2025 19:08:36.711,26.783
25,18 Jan 2025 18:49:15.714,18 Jan 2025 18:49:47.966,32.252
26,19 Jan 2025 18:30:21.500,19 Jan 2025 18:30:54.380,32.879
27,20 Jan 2025 18:11:27.287,20 Jan 2025 18:11:55.107,27.820
28,20 Jan 2025 19:46:11.677,20 Jan 2025 19:46:13.141,1.464
29,21 Jan 2025 17:52:33.074,21 Jan 2025 17:52:48.192,15.118
30,21 Jan 2025 19:27:17.460,21 Jan 2025 19:27:33.989,16.529
