"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 20:50:00.470,0.000,0.437509,-153.501,-139.226109,20.000000,95.097784,19.200,52.2648,55.2751,1.000000e-30
1 Jan 2025 20:51:00.000,0.000,0.437509,-152.162,-137.886720,20.000000,96.437174,19.200,53.6042,56.6145,1.000000e-30
1 Jan 2025 20:52:00.000,0.000,0.437508,-150.690,-136.414688,20.000000,97.909205,19.200,55.0762,58.0865,1.000000e-30
1 Jan 2025 20:53:00.000,0.000,0.437506,-149.181,-134.905316,20.000000,99.418578,19.200,56.5856,59.5959,1.000000e-30
1 Jan 2025 20:54:00.000,0.000,0.437504,-147.885,-133.609277,20.000000,100.714616,19.200,57.8816,60.8919,1.000000e-30
1 Jan 2025 20:55:00.000,0.000,0.437500,-147.262,-132.986377,20.000000,101.337516,19.200,58.5045,61.5148,1.000000e-30
1 Jan 2025 20:56:00.000,0.000,0.437497,-147.651,-133.375735,20.000000,100.948158,19.200,58.1151,61.1254,1.000000e-30
1 Jan 2025 20:57:00.000,0.000,0.437494,-148.831,-134.555958,20.000000,99.767935,19.200,56.9349,59.9452,1.000000e-30
1 Jan 2025 20:58:00.000,0.000,0.437492,-150.322,-136.046925,20.000000,98.276968,19.200,55.4440,58.4543,1.000000e-30
1 Jan 2025 20:59:00.000,0.000,0.437491,-151.818,-137.542500,20.000000,96.781393,19.200,53.9484,56.9587,1.000000e-30
1 Jan 2025 21:00:00.000,0.000,0.437491,-153.202,-138.926992,20.000000,95.396901,19.200,52.5639,55.5742,1.000000e-30
1 Jan 2025 21:00:19.283,0.000,0.437491,-153.618,-139.342987,20.000000,94.980906,19.200,52.1479,55.1582,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 22:23:23.382,0.000,0.437510,-153.481,-139.206033,20.000000,95.117860,19.200,52.2848,55.2951,1.000000e-30
1 Jan 2025 22:24:23.000,0.000,0.437509,-152.074,-137.799070,20.000000,96.524823,19.200,53.6918,56.7021,1.000000e-30
1 Jan 2025 22:25:23.000,0.000,0.437509,-150.475,-136.200104,20.000000,98.123789,19.200,55.2908,58.3011,1.000000e-30
1 Jan 2025 22:26:23.000,0.000,0.437507,-148.726,-134.450686,20.000000,99.873208,19.200,57.0402,60.0505,1.000000e-30
