"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2025 16:32:30.654,1 Jan 2025 16:42:39.476,608.822
2,1 Jan 2025 18:05:57.641,1 Jan 2025 18:16:52.446,654.805
3,2 Jan 2025 03:11:20.864,2 Jan 2025 03:18:36.904,436.040
4,2 Jan 2025 04:42:19.357,2 Jan 2025 04:53:52.602,693.245
5,2 Jan 2025 06:19:11.690,2 Jan 2025 06:25:37.864,386.174
6,2 Jan 2025 16:14:19.404,2 Jan 2025 16:23:07.196,527.793
7,2 Jan 2025 17:47:05.861,2 Jan 2025 17:58:28.729,682.868
8,2 Jan 2025 19:23:30.954,2 Jan 2025 19:27:45.394,254.441
9,3 Jan 2025 02:54:20.798,3 Jan 2025 02:58:46.519,265.720
10,3 Jan 2025 04:23:43.405,3 Jan 2025 04:35:07.123,683.719
11,3 Jan 2025 05:59:08.338,3 Jan 2025 06:07:51.453,523.115
12,3 Jan 2025 15:56:31.379,3 Jan 2025 16:03:05.737,394.358
13,3 Jan 2025 17:28:20.108,3 Jan 2025 17:39:53.300,693.192
14,3 Jan 2025 19:03:37.997,3 Jan 2025 19:10:48.212,430.214
15,4 Jan 2025 04:05:19.138,4 Jan 2025 04:16:15.620,656.481
16,4 Jan 2025 05:39:35.054,4 Jan 2025 05:49:40.947,605.894
17,4 Jan 2025 17:09:40.441,4 Jan 2025 17:21:06.239,685.798
18,4 Jan 2025 18:44:16.932,4 Jan 2025 18:53:12.331,535.399
19,5 Jan 2025 03:47:07.439,5 Jan 2025 03:57:17.432,609.993
20,5 Jan 2025 05:20:20.456,5 Jan 2025 05:31:17.445,656.989
21,5 Jan 2025 16:51:07.644,5 Jan 2025 17:02:06.804,659.160
22,5 Jan 2025 18:25:09.584,5 Jan 2025 18:35:16.267,606.682
23,6 Jan 2025 03:29:10.427,6 Jan 2025 03:38:10.670,540.243
24,6 Jan 2025 05:01:20.267,6 Jan 2025 05:12:45.084,684.817
25,6 Jan 2025 16:32:43.557,6 Jan 2025 16:42:53.121,609.564
26,6 Jan 2025 18:06:10.969,6 Jan 2025 18:17:05.334,654.365
27,7 Jan 2025 03:11:33.123,7 Jan 2025 03:18:50.646,437.523
28,7 Jan 2025 04:42:32.528,7 Jan 2025 04:54:05.787,693.259
29,7 Jan 2025 06:19:26.106,7 Jan 2025 06:25:50.138,384.033
30,7 Jan 2025 16:14:32.117,7 Jan 2025 16:23:21.098,528.980
31,7 Jan 2025 17:47:19.113,7 Jan 2025 17:58:41.759,682.646
32,7 Jan 2025 19:23:45.412,7 Jan 2025 19:27:56.847,251.435
33,8 Jan 2025 02:54:32.347,8 Jan 2025 02:59:00.886,268.539
34,8 Jan 2025 04:23:56.440,8 Jan 2025 04:35:20.374,683.934
35,8 Jan 2025 05:59:22.258,8 Jan 2025 06:08:04.154,521.896
36,8 Jan 2025 15:56:43.688,8 Jan 2025 16:03:20.114,396.426
37,8 Jan 2025 17:28:33.293,8 Jan 2025 17:40:06.466,693.173
38,8 Jan 2025 19:03:51.756,8 Jan 2025 19:11:00.447,428.690
39,9 Jan 2025 04:05:32.037,9 Jan 2025 04:16:28.943,656.907
40,9 Jan 2025 05:39:48.710,9 Jan 2025 05:49:53.841,605.131
41,9 Jan 2025 15:40:48.132,9 Jan 2025 15:41:19.910,31.778
42,9 Jan 2025 17:09:53.552,9 Jan 2025 17:21:19.547,685.995
43,9 Jan 2025 18:44:30.473,9 Jan 2025 18:53:24.863,534.390
44,10 Jan 2025 03:47:20.180,10 Jan 2025 03:57:30.842,610.662
45,10 Jan 2025 05:20:33.928,10 Jan 2025 05:31:30.458,656.530
46,10 Jan 2025 16:51:20.666,10 Jan 2025 17:02:20.263,659.597
47,10 Jan 2025 18:25:23.003,10 Jan 2025 18:35:28.995,605.993
48,11 Jan 2025 03:29:22.974,11 Jan 2025 03:38:24.200,541.226
49,11 Jan 2025 05:01:33.582,11 Jan 2025 05:12:58.190,684.608
50,11 Jan 2025 16:32:56.459,11 Jan 2025 16:43:06.764,610.305
51,11 Jan 2025 18:06:24.303,11 Jan 2025 18:17:18.221,653.917
52,12 Jan 2025 03:11:45.389,12 Jan 2025 03:19:04.381,438.992
53,12 Jan 2025 04:42:45.701,12 Jan 2025 04:54:18.968,693.266
54,12 Jan 2025 06:19:40.535,12 Jan 2025 06:26:02.403,381.868
55,12 Jan 2025 16:14:44.832,12 Jan 2025 16:23:34.997,530.165
56,12 Jan 2025 17:47:32.368,12 Jan 2025 17:58:54.786,682.418
57,12 Jan 2025 19:23:59.898,12 Jan 2025 19:28:08.276,248.378
58,13 Jan 2025 02:54:43.915,13 Jan 2025 02:59:15.233,271.318
59,13 Jan 2025 04:24:09.479,13 Jan 2025 04:35:33.624,684.145
60,13 Jan 2025 05:59:36.182,13 Jan 2025 06:08:16.849,520.667
61,13 Jan 2025 15:56:56.003,13 Jan 2025 16:03:34.483,398.481
62,13 Jan 2025 17:28:46.478,13 Jan 2025 17:40:19.630,693.152
63,13 Jan 2025 19:04:05.520,13 Jan 2025 19:11:12.676,427.155
64,14 Jan 2025 04:05:44.937,14 Jan 2025 04:16:42.265,657.328
65,14 Jan 2025 05:40:02.370,14 Jan 2025 05:50:06.733,604.363
66,14 Jan 2025 15:40:49.769,14 Jan 2025 15:41:45.026,55.258
67,14 Jan 2025 17:10:06.662,14 Jan 2025 17:21:32.849,686.186
68,14 Jan 2025 18:44:44.018,14 Jan 2025 18:53:37.390,533.373
69,15 Jan 2025 03:47:32.918,15 Jan 2025 03:57:44.249,611.331
70,15 Jan 2025 05:20:47.401,15 Jan 2025 05:31:43.472,656.071
71,15 Jan 2025 16:51:33.687,15 Jan 2025 17:02:33.718,660.031
72,15 Jan 2025 18:25:36.421,15 Jan 2025 18:35:41.721,605.300
73,16 Jan 2025 03:29:35.525,16 Jan 2025 03:38:37.727,542.202
74,16 Jan 2025 05:01:46.897,16 Jan 2025 05:13:11.294,684.396
75,16 Jan 2025 16:33:09.362,16 Jan 2025 16:43:20.404,611.041
76,16 Jan 2025 18:06:37.629,16 Jan 2025 18:17:31.105,653.476
77,17 Jan 2025 03:11:57.657,17 Jan 2025 03:19:18.111,440.454
78,17 Jan 2025 04:42:58.876,17 Jan 2025 04:54:32.146,693.270
79,17 Jan 2025 06:19:54.973,17 Jan 2025 06:26:14.656,379.683
80,17 Jan 2025 16:14:57.548,17 Jan 2025 16:23:48.889,531.341
81,17 Jan 2025 17:47:45.624,17 Jan 2025 17:59:07.812,682.188
82,17 Jan 2025 19:24:14.397,17 Jan 2025 19:28:19.684,245.288
83,18 Jan 2025 02:54:55.498,18 Jan 2025 02:59:29.565,274.067
84,18 Jan 2025 04:24:22.518,18 Jan 2025 04:35:46.868,684.350
85,18 Jan 2025 05:59:50.110,18 Jan 2025 06:08:29.541,519.431
86,18 Jan 2025 15:57:08.326,18 Jan 2025 16:03:48.838,400.512
87,18 Jan 2025 17:28:59.664,18 Jan 2025 17:40:32.791,693.127
88,18 Jan 2025 19:04:19.286,18 Jan 2025 19:11:24.900,425.614
89,19 Jan 2025 04:05:57.837,19 Jan 2025 04:16:55.587,657.749
90,19 Jan 2025 05:40:16.032,19 Jan 2025 05:50:19.622,603.590
91,19 Jan 2025 15:40:55.110,19 Jan 2025 15:42:06.448,71.338
92,19 Jan 2025 17:10:19.774,19 Jan 2025 17:21:46.149,686.375
93,19 Jan 2025 18:44:57.563,19 Jan 2025 18:53:49.916,532.353
94,20 Jan 2025 03:47:45.662,20 Jan 2025 03:57:57.653,611.991
95,20 Jan 2025 05:21:00.874,20 Jan 2025 05:31:56.484,655.610
96,20 Jan 2025 16:51:46.711,20 Jan 2025 17:02:47.168,660.458
97,20 Jan 2025 18:25:49.844,20 Jan 2025 18:35:54.445,604.601
98,21 Jan 2025 03:29:48.079,21 Jan 2025 03:38:51.254,543.175
99,21 Jan 2025 05:02:00.219,21 Jan 2025 05:13:24.397,684.178
100,21 Jan 2025 16:33:22.269,21 Jan 2025 16:43:34.042,611.773
101,21 Jan 2025 18:06:50.962,21 Jan 2025 18:17:43.988,653.026
102,22 Jan 2025 03:12:09.930,22 Jan 2025 03:19:31.841,441.911
103,22 Jan 2025 04:43:12.054,22 Jan 2025 04:54:45.325,693.271
104,22 Jan 2025 06:20:09.423,22 Jan 2025 06:26:26.901,377.478
105,22 Jan 2025 16:15:10.265,22 Jan 2025 16:24:02.781,532.516
106,22 Jan 2025 17:47:58.882,22 Jan 2025 17:59:20.837,681.955
107,22 Jan 2025 19:24:28.918,22 Jan 2025 19:28:31.072,242.154
108,23 Jan 2025 02:55:07.098,23 Jan 2025 02:59:43.884,276.785
109,23 Jan 2025 04:24:35.561,23 Jan 2025 04:36:00.117,684.556
110,23 Jan 2025 06:00:04.038,23 Jan 2025 06:08:42.232,518.193
111,23 Jan 2025 15:57:20.660,23 Jan 2025 16:04:03.190,402.530
112,23 Jan 2025 17:29:12.852,23 Jan 2025 17:40:45.952,693.100
113,23 Jan 2025 19:04:33.058,23 Jan 2025 19:11:37.122,424.064
114,24 Jan 2025 04:06:10.742,24 Jan 2025 04:17:08.909,658.167
115,24 Jan 2025 05:40:29.698,24 Jan 2025 05:50:32.511,602.814
116,24 Jan 2025 15:41:01.966,24 Jan 2025 15:42:26.356,84.390
117,24 Jan 2025 17:10:32.884,24 Jan 2025 17:21:59.446,686.562
118,24 Jan 2025 18:45:11.109,24 Jan 2025 18:54:02.439,531.331
119,25 Jan 2025 03:47:58.410,25 Jan 2025 03:58:11.058,612.649
120,25 Jan 2025 05:21:14.350,25 Jan 2025 05:32:09.497,655.147
121,25 Jan 2025 16:51:59.737,25 Jan 2025 17:03:00.622,660.885
122,25 Jan 2025 18:26:03.267,25 Jan 2025 18:36:07.171,603.904
123,26 Jan 2025 03:30:00.634,26 Jan 2025 03:39:04.778,544.144
124,26 Jan 2025 05:02:13.538,26 Jan 2025 05:13:37.501,683.963
125,26 Jan 2025 16:33:35.176,26 Jan 2025 16:43:47.679,612.502
126,26 Jan 2025 18:07:04.296,26 Jan 2025 18:17:56.870,652.574
127,27 Jan 2025 03:12:22.207,27 Jan 2025 03:19:45.566,443.359
128,27 Jan 2025 04:43:25.234,27 Jan 2025 04:54:58.504,693.269
129,27 Jan 2025 06:20:23.882,27 Jan 2025 06:26:39.139,375.257
130,27 Jan 2025 16:15:22.990,27 Jan 2025 16:24:16.671,533.681
131,27 Jan 2025 17:48:12.141,27 Jan 2025 17:59:33.861,681.720
132,27 Jan 2025 19:24:43.464,27 Jan 2025 19:28:42.434,238.970
133,28 Jan 2025 02:55:18.716,28 Jan 2025 02:59:58.185,279.470
134,28 Jan 2025 04:24:48.605,28 Jan 2025 04:36:13.365,684.760
135,28 Jan 2025 06:00:17.975,28 Jan 2025 06:08:54.920,516.945
136,28 Jan 2025 15:57:33.000,28 Jan 2025 16:04:17.535,404.535
137,28 Jan 2025 17:29:26.041,28 Jan 2025 17:40:59.113,693.072
138,28 Jan 2025 19:04:46.834,28 Jan 2025 19:11:49.337,422.503
139,29 Jan 2025 04:06:23.646,29 Jan 2025 04:17:22.227,658.581
140,29 Jan 2025 05:40:43.361,29 Jan 2025 05:50:45.399,602.038
141,29 Jan 2025 15:41:09.714,29 Jan 2025 15:42:45.365,95.651
142,29 Jan 2025 17:10:45.998,29 Jan 2025 17:22:12.744,686.745
143,29 Jan 2025 18:45:24.659,29 Jan 2025 18:54:14.959,530.301
144,30 Jan 2025 03:48:11.158,30 Jan 2025 03:58:24.464,613.306
145,30 Jan 2025 05:21:27.823,30 Jan 2025 05:32:22.508,654.685
146,30 Jan 2025 16:52:12.762,30 Jan 2025 17:03:14.072,661.310
147,30 Jan 2025 18:26:16.688,30 Jan 2025 18:36:19.891,603.203
148,31 Jan 2025 03:30:13.191,31 Jan 2025 03:39:18.295,545.104
149,31 Jan 2025 05:02:26.857,31 Jan 2025 05:13:50.606,683.749
150,31 Jan 2025 16:33:48.085,31 Jan 2025 16:44:01.311,613.226
151,31 Jan 2025 18:07:17.630,31 Jan 2025 18:18:09.750,652.120
152,1 Feb 2025 03:12:34.484,1 Feb 2025 03:19:59.287,444.803
153,1 Feb 2025 04:43:38.415,1 Feb 2025 04:55:11.680,693.266
154,1 Feb 2025 06:20:38.351,1 Feb 2025 06:26:51.365,373.015
155,1 Feb 2025 16:15:35.718,1 Feb 2025 16:24:30.552,534.834
156,1 Feb 2025 17:48:25.403,1 Feb 2025 17:59:46.878,681.475
157,1 Feb 2025 19:24:58.031,1 Feb 2025 19:28:53.775,235.744
158,2 Feb 2025 02:55:30.347,2 Feb 2025 03:00:12.474,282.127
159,2 Feb 2025 04:25:01.651,2 Feb 2025 04:36:26.612,684.961
160,2 Feb 2025 06:00:31.915,2 Feb 2025 06:09:07.600,515.684
161,2 Feb 2025 15:57:45.347,2 Feb 2025 16:04:31.870,406.523
162,2 Feb 2025 17:29:39.230,2 Feb 2025 17:41:12.272,693.042
163,2 Feb 2025 19:05:00.613,2 Feb 2025 19:12:01.548,420.935
164,3 Feb 2025 04:06:36.552,3 Feb 2025 04:17:35.547,658.995
165,3 Feb 2025 05:40:57.031,3 Feb 2025 05:50:58.283,601.253
166,3 Feb 2025 15:41:18.073,3 Feb 2025 15:43:03.763,105.690
167,3 Feb 2025 17:10:59.114,3 Feb 2025 17:22:26.040,686.926
168,3 Feb 2025 18:45:38.210,3 Feb 2025 18:54:27.478,529.268
169,4 Feb 2025 03:48:23.909,4 Feb 2025 03:58:37.870,613.961
170,4 Feb 2025 05:21:41.303,4 Feb 2025 05:32:35.518,654.215
171,4 Feb 2025 16:52:25.791,4 Feb 2025 17:03:27.521,661.731
172,4 Feb 2025 18:26:30.113,4 Feb 2025 18:36:32.610,602.496
173,5 Feb 2025 03:30:25.754,5 Feb 2025 03:39:31.819,546.065
174,5 Feb 2025 05:02:40.181,5 Feb 2025 05:14:03.704,683.523
175,5 Feb 2025 16:34:00.997,5 Feb 2025 16:44:14.944,613.947
176,5 Feb 2025 18:07:30.965,5 Feb 2025 18:18:22.629,651.664
177,6 Feb 2025 03:12:46.772,6 Feb 2025 03:20:13.007,446.236
178,6 Feb 2025 04:43:51.599,6 Feb 2025 04:55:24.858,693.259
179,6 Feb 2025 06:20:52.833,6 Feb 2025 06:27:03.584,370.751
180,6 Feb 2025 16:15:48.447,6 Feb 2025 16:24:44.435,535.988
181,6 Feb 2025 17:48:38.666,6 Feb 2025 17:59:59.900,681.234
182,6 Feb 2025 19:25:12.626,6 Feb 2025 19:29:05.090,232.464
183,7 Feb 2025 02:55:41.995,7 Feb 2025 03:00:26.753,284.759
184,7 Feb 2025 04:25:14.700,7 Feb 2025 04:36:39.859,685.159
185,7 Feb 2025 06:00:45.864,7 Feb 2025 06:09:20.285,514.421
186,7 Feb 2025 15:57:57.697,7 Feb 2025 16:04:46.199,408.502
187,7 Feb 2025 17:29:52.422,7 Feb 2025 17:41:25.427,693.005
188,7 Feb 2025 19:05:14.398,7 Feb 2025 19:12:13.755,419.357
189,8 Feb 2025 04:06:49.461,8 Feb 2025 04:17:48.867,659.405
190,8 Feb 2025 05:41:10.705,8 Feb 2025 05:51:11.168,600.463
191,8 Feb 2025 15:41:26.878,8 Feb 2025 15:43:21.724,114.846
192,8 Feb 2025 17:11:12.231,8 Feb 2025 17:22:39.336,687.105
193,8 Feb 2025 18:45:51.763,8 Feb 2025 18:54:39.994,528.231
194,9 Feb 2025 03:48:36.664,9 Feb 2025 03:58:51.276,614.612
195,9 Feb 2025 05:21:54.786,9 Feb 2025 05:32:48.528,653.742
196,9 Feb 2025 16:52:38.821,9 Feb 2025 17:03:40.970,662.149
197,9 Feb 2025 18:26:43.541,9 Feb 2025 18:36:45.327,601.786
198,10 Feb 2025 03:30:38.319,10 Feb 2025 03:39:45.340,547.021
199,10 Feb 2025 05:02:53.507,10 Feb 2025 05:14:16.805,683.298
200,10 Feb 2025 16:34:13.909,10 Feb 2025 16:44:28.573,614.664
201,10 Feb 2025 18:07:44.302,10 Feb 2025 18:18:35.506,651.204
202,11 Feb 2025 03:12:59.065,11 Feb 2025 03:20:26.718,447.653
203,11 Feb 2025 04:44:04.784,11 Feb 2025 04:55:38.034,693.250
204,11 Feb 2025 06:21:07.323,11 Feb 2025 06:27:15.793,368.470
205,11 Feb 2025 16:16:01.179,11 Feb 2025 16:24:58.314,537.134
206,11 Feb 2025 17:48:51.928,11 Feb 2025 18:00:12.919,680.991
207,11 Feb 2025 19:25:27.251,11 Feb 2025 19:29:16.375,229.125
208,12 Feb 2025 02:55:53.657,12 Feb 2025 03:00:41.013,287.357
209,12 Feb 2025 04:25:27.749,12 Feb 2025 04:36:53.105,685.356
210,12 Feb 2025 06:00:59.813,12 Feb 2025 06:09:32.964,513.151
211,12 Feb 2025 15:58:10.060,12 Feb 2025 16:05:00.519,410.460
212,12 Feb 2025 17:30:05.614,12 Feb 2025 17:41:38.584,692.970
213,12 Feb 2025 19:05:28.188,12 Feb 2025 19:12:25.955,417.767
214,13 Feb 2025 04:07:02.371,13 Feb 2025 04:18:02.186,659.815
215,13 Feb 2025 05:41:24.380,13 Feb 2025 05:51:24.050,599.670
216,13 Feb 2025 15:41:36.032,13 Feb 2025 15:43:39.325,123.293
217,13 Feb 2025 17:11:25.349,13 Feb 2025 17:22:52.630,687.281
218,13 Feb 2025 18:46:05.317,13 Feb 2025 18:54:52.506,527.189
219,14 Feb 2025 03:48:49.419,14 Feb 2025 03:59:04.678,615.260
220,14 Feb 2025 05:22:08.269,14 Feb 2025 05:33:01.536,653.266
221,14 Feb 2025 16:52:51.852,14 Feb 2025 17:03:54.415,662.563
222,14 Feb 2025 18:26:56.967,14 Feb 2025 18:36:58.041,601.074
223,15 Feb 2025 03:30:50.886,15 Feb 2025 03:39:58.857,547.971
224,15 Feb 2025 05:03:06.834,15 Feb 2025 05:14:29.904,683.070
225,15 Feb 2025 16:34:26.819,15 Feb 2025 16:44:42.200,615.381
226,15 Feb 2025 18:07:57.639,15 Feb 2025 18:18:48.377,650.738
227,16 Feb 2025 03:13:11.355,16 Feb 2025 03:20:40.436,449.081
228,16 Feb 2025 04:44:17.972,16 Feb 2025 04:55:51.209,693.238
229,16 Feb 2025 06:21:21.826,16 Feb 2025 06:27:27.987,366.161
230,16 Feb 2025 16:16:13.911,16 Feb 2025 16:25:12.189,538.279
231,16 Feb 2025 17:49:05.190,16 Feb 2025 18:00:25.936,680.746
232,16 Feb 2025 19:25:41.896,16 Feb 2025 19:29:27.636,225.740
233,17 Feb 2025 02:56:05.331,17 Feb 2025 03:00:55.264,289.932
234,17 Feb 2025 04:25:40.800,17 Feb 2025 04:37:06.350,685.550
235,17 Feb 2025 06:01:13.763,17 Feb 2025 06:09:45.634,511.871
236,17 Feb 2025 15:58:22.431,17 Feb 2025 16:05:14.832,412.400
237,17 Feb 2025 17:30:18.807,17 Feb 2025 17:41:51.738,692.931
238,17 Feb 2025 19:05:41.981,17 Feb 2025 19:12:38.153,416.172
239,18 Feb 2025 04:07:15.283,18 Feb 2025 04:18:15.505,660.223
240,18 Feb 2025 05:41:38.060,18 Feb 2025 05:51:36.930,598.870
241,18 Feb 2025 15:41:45.469,18 Feb 2025 15:43:56.650,131.181
242,18 Feb 2025 17:11:38.468,18 Feb 2025 17:23:05.922,687.454
243,18 Feb 2025 18:46:18.874,18 Feb 2025 18:55:05.017,526.142
244,19 Feb 2025 03:49:02.176,19 Feb 2025 03:59:18.076,615.900
245,19 Feb 2025 05:22:21.756,19 Feb 2025 05:33:14.543,652.787
246,19 Feb 2025 16:53:04.887,19 Feb 2025 17:04:07.860,662.973
247,19 Feb 2025 18:27:10.396,19 Feb 2025 18:37:10.755,600.359
248,20 Feb 2025 03:31:03.455,20 Feb 2025 03:40:12.374,548.920
249,20 Feb 2025 05:03:20.169,20 Feb 2025 05:14:43.003,682.835
