"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jan 2025 14:36:16.178,2 Jan 2025 14:36:48.167,31.989
2,3 Jan 2025 14:17:27.784,3 Jan 2025 14:17:53.953,26.170
3,4 Jan 2025 13:58:44.031,4 Jan 2025 13:58:59.740,15.708
4,4 Jan 2025 15:33:27.911,4 Jan 2025 15:33:44.126,16.215
5,5 Jan 2025 13:40:05.214,5 Jan 2025 13:40:05.521,0.307
6,5 Jan 2025 15:14:21.581,5 Jan 2025 15:14:49.912,28.331
7,6 Jan 2025 14:55:22.713,6 Jan 2025 14:55:55.697,32.985
8,7 Jan 2025 14:36:29.456,7 Jan 2025 14:37:01.483,32.028
9,8 Jan 2025 14:17:41.008,8 Jan 2025 14:18:07.269,26.262
10,9 Jan 2025 13:58:57.200,9 Jan 2025 13:59:13.055,15.855
11,9 Jan 2025 15:33:41.431,9 Jan 2025 15:33:57.441,16.010
12,10 Jan 2025 13:40:18.321,10 Jan 2025 13:40:18.836,0.515
13,10 Jan 2025 15:14:34.993,10 Jan 2025 15:15:03.226,28.233
14,11 Jan 2025 14:55:36.057,11 Jan 2025 14:56:09.010,32.953
15,12 Jan 2025 14:36:42.735,12 Jan 2025 14:37:14.795,32.060
16,13 Jan 2025 14:17:54.232,13 Jan 2025 14:18:20.580,26.348
17,14 Jan 2025 13:59:10.369,14 Jan 2025 13:59:26.366,15.997
18,14 Jan 2025 15:33:54.953,14 Jan 2025 15:34:10.752,15.799
19,15 Jan 2025 13:40:31.427,15 Jan 2025 13:40:32.147,0.720
20,15 Jan 2025 15:14:48.407,15 Jan 2025 15:15:16.537,28.130
21,16 Jan 2025 14:55:49.396,16 Jan 2025 14:56:22.323,32.926
22,17 Jan 2025 14:36:56.014,17 Jan 2025 14:37:28.109,32.094
23,18 Jan 2025 14:18:07.456,18 Jan 2025 14:18:33.895,26.439
24,19 Jan 2025 13:59:23.538,19 Jan 2025 13:59:39.682,16.144
25,19 Jan 2025 15:34:08.476,19 Jan 2025 15:34:24.067,15.592
26,20 Jan 2025 13:40:44.531,20 Jan 2025 13:40:45.464,0.932
27,20 Jan 2025 15:15:01.826,20 Jan 2025 15:15:29.853,28.027
28,21 Jan 2025 14:56:02.737,21 Jan 2025 14:56:35.639,32.902
29,22 Jan 2025 14:37:09.295,22 Jan 2025 14:37:41.425,32.129
30,23 Jan 2025 14:18:20.683,23 Jan 2025 14:18:47.211,26.528
31,24 Jan 2025 13:59:36.709,24 Jan 2025 13:59:52.997,16.287
32,24 Jan 2025 15:34:22.002,24 Jan 2025 15:34:37.382,15.381
33,25 Jan 2025 13:40:57.641,25 Jan 2025 13:40:58.778,1.137
34,25 Jan 2025 15:15:15.244,25 Jan 2025 15:15:43.167,27.923
35,26 Jan 2025 14:56:16.080,26 Jan 2025 14:56:48.952,32.872
36,27 Jan 2025 14:37:22.578,27 Jan 2025 14:37:54.737,32.160
37,28 Jan 2025 14:18:33.910,28 Jan 2025 14:19:00.523,26.613
38,29 Jan 2025 13:59:49.881,29 Jan 2025 14:00:06.308,16.428
39,29 Jan 2025 15:34:35.528,29 Jan 2025 15:34:50.694,15.166
40,30 Jan 2025 13:41:10.750,30 Jan 2025 13:41:12.090,1.340
41,30 Jan 2025 15:15:28.662,30 Jan 2025 15:15:56.479,27.817
42,31 Jan 2025 14:56:29.422,31 Jan 2025 14:57:02.265,32.843
43,1 Feb 2025 14:37:35.859,1 Feb 2025 14:38:08.051,32.192
44,2 Feb 2025 14:18:47.137,2 Feb 2025 14:19:13.838,26.701
45,3 Feb 2025 14:00:03.053,3 Feb 2025 14:00:19.625,16.572
46,3 Feb 2025 15:34:49.056,3 Feb 2025 15:35:04.010,14.954
47,4 Feb 2025 13:41:23.862,4 Feb 2025 13:41:25.408,1.546
48,4 Feb 2025 15:15:42.081,4 Feb 2025 15:16:09.796,27.715
49,5 Feb 2025 14:56:42.767,5 Feb 2025 14:57:15.582,32.815
50,6 Feb 2025 14:37:49.139,6 Feb 2025 14:38:21.368,32.228
51,7 Feb 2025 14:19:00.370,7 Feb 2025 14:19:27.153,26.784
52,8 Feb 2025 14:00:16.227,8 Feb 2025 14:00:32.939,16.712
53,8 Feb 2025 15:35:02.588,8 Feb 2025 15:35:17.325,14.737
54,9 Feb 2025 13:41:36.974,9 Feb 2025 13:41:38.721,1.747
55,9 Feb 2025 15:15:55.503,9 Feb 2025 15:16:23.110,27.606
56,10 Feb 2025 14:56:56.112,10 Feb 2025 14:57:28.895,32.782
57,11 Feb 2025 14:38:02.424,11 Feb 2025 14:38:34.680,32.256
58,12 Feb 2025 14:19:13.598,12 Feb 2025 14:19:40.466,26.868
59,13 Feb 2025 14:00:29.401,13 Feb 2025 14:00:46.252,16.852
60,13 Feb 2025 15:35:16.120,13 Feb 2025 15:35:30.638,14.518
61,14 Feb 2025 13:41:50.087,14 Feb 2025 13:41:52.036,1.950
62,14 Feb 2025 15:16:08.924,14 Feb 2025 15:16:36.424,27.500
63,15 Feb 2025 14:57:09.457,15 Feb 2025 14:57:42.210,32.753
64,16 Feb 2025 14:38:15.708,16 Feb 2025 14:38:47.997,32.289
65,17 Feb 2025 14:19:26.828,17 Feb 2025 14:19:53.784,26.956
66,18 Feb 2025 14:00:42.576,18 Feb 2025 14:00:59.571,16.995
67,18 Feb 2025 15:35:29.654,18 Feb 2025 15:35:43.957,14.303
68,19 Feb 2025 13:42:03.202,19 Feb 2025 13:42:05.356,2.154
69,19 Feb 2025 15:16:22.348,19 Feb 2025 15:16:49.743,27.395
70,20 Feb 2025 14:57:22.805,20 Feb 2025 14:57:55.529,32.724
71,21 Feb 2025 14:38:28.995,21 Feb 2025 14:39:01.315,32.320
72,22 Feb 2025 14:19:40.058,22 Feb 2025 14:20:07.101,27.044
73,23 Feb 2025 14:00:55.753,23 Feb 2025 14:01:12.887,17.134
74,23 Feb 2025 15:35:43.193,23 Feb 2025 15:35:57.273,14.080
75,24 Feb 2025 13:42:16.317,24 Feb 2025 13:42:18.672,2.354
76,24 Feb 2025 15:16:35.768,24 Feb 2025 15:17:03.058,27.290
77,25 Feb 2025 14:57:36.150,25 Feb 2025 14:58:08.844,32.694
78,26 Feb 2025 14:38:42.282,26 Feb 2025 14:39:14.629,32.347
79,27 Feb 2025 14:19:53.293,27 Feb 2025 14:20:20.416,27.123
80,28 Feb 2025 14:01:08.929,28 Feb 2025 14:01:26.202,17.273
81,28 Feb 2025 15:35:56.729,28 Feb 2025 15:36:10.588,13.859
82,1 Mar 2025 13:42:29.433,1 Mar 2025 13:42:31.989,2.556
83,1 Mar 2025 15:16:49.196,1 Mar 2025 15:17:16.375,27.179
84,2 Mar 2025 14:57:49.500,2 Mar 2025 14:58:22.162,32.661
85,3 Mar 2025 14:38:55.569,3 Mar 2025 14:39:27.949,32.379
86,4 Mar 2025 14:20:06.526,4 Mar 2025 14:20:33.736,27.210
87,5 Mar 2025 14:01:22.108,5 Mar 2025 14:01:39.523,17.416
88,5 Mar 2025 15:36:10.269,5 Mar 2025 15:36:23.909,13.640
89,6 Mar 2025 13:42:42.551,6 Mar 2025 13:42:45.305,2.754
90,6 Mar 2025 15:17:02.625,6 Mar 2025 15:17:29.695,27.071
91,7 Mar 2025 14:58:02.852,7 Mar 2025 14:58:35.481,32.629
92,8 Mar 2025 14:39:08.859,8 Mar 2025 14:39:41.267,32.408
93,9 Mar 2025 14:20:19.760,9 Mar 2025 14:20:47.054,27.293
94,10 Mar 2025 14:01:35.287,10 Mar 2025 14:01:52.840,17.553
95,10 Mar 2025 15:36:23.815,10 Mar 2025 15:36:37.226,13.411
96,11 Mar 2025 13:42:55.669,11 Mar 2025 13:42:58.626,2.957
97,11 Mar 2025 15:17:16.049,11 Mar 2025 15:17:43.012,26.963
98,12 Mar 2025 14:58:16.198,12 Mar 2025 14:58:48.798,32.600
99,13 Mar 2025 14:39:22.148,13 Mar 2025 14:39:54.585,32.437
100,14 Mar 2025 14:20:32.994,14 Mar 2025 14:21:00.372,27.378
101,15 Mar 2025 14:01:48.466,15 Mar 2025 14:02:06.160,17.694
102,15 Mar 2025 15:36:37.354,15 Mar 2025 15:36:50.546,13.192
103,16 Mar 2025 13:43:08.788,16 Mar 2025 13:43:11.948,3.159
104,16 Mar 2025 15:17:29.477,16 Mar 2025 15:17:56.333,26.856
105,17 Mar 2025 14:58:29.549,17 Mar 2025 14:59:02.120,32.571
106,18 Mar 2025 14:39:35.438,18 Mar 2025 14:40:07.908,32.470
107,19 Mar 2025 14:20:46.230,19 Mar 2025 14:21:13.696,27.466
108,20 Mar 2025 14:02:01.647,20 Mar 2025 14:02:19.483,17.837
109,20 Mar 2025 15:36:50.898,20 Mar 2025 15:37:03.869,12.971
110,21 Mar 2025 13:43:21.909,21 Mar 2025 13:43:25.271,3.362
111,21 Mar 2025 15:17:42.907,21 Mar 2025 15:18:09.656,26.749
112,22 Mar 2025 14:58:42.903,22 Mar 2025 14:59:15.443,32.540
113,23 Mar 2025 14:39:48.730,23 Mar 2025 14:40:21.230,32.500
114,24 Mar 2025 14:20:59.466,24 Mar 2025 14:21:27.016,27.550
115,25 Mar 2025 14:02:14.828,25 Mar 2025 14:02:32.803,17.975
116,25 Mar 2025 15:37:04.445,25 Mar 2025 15:37:17.189,12.744
117,26 Mar 2025 13:43:35.030,26 Mar 2025 13:43:38.590,3.560
118,26 Mar 2025 15:17:56.339,26 Mar 2025 15:18:22.976,26.637
119,27 Mar 2025 14:58:56.257,27 Mar 2025 14:59:28.762,32.505
120,28 Mar 2025 14:40:02.021,28 Mar 2025 14:40:34.549,32.529
121,29 Mar 2025 14:21:12.702,29 Mar 2025 14:21:40.337,27.635
122,30 Mar 2025 14:02:28.010,30 Mar 2025 14:02:46.126,18.116
123,30 Mar 2025 15:37:17.996,30 Mar 2025 15:37:30.512,12.515
124,31 Mar 2025 13:43:48.152,31 Mar 2025 13:43:51.914,3.763
125,31 Mar 2025 15:18:09.770,31 Mar 2025 15:18:36.300,26.530
126,1 Apr 2025 14:59:09.611,1 Apr 2025 14:59:42.088,32.477
127,2 Apr 2025 14:40:15.313,2 Apr 2025 14:40:47.876,32.563
128,3 Apr 2025 14:21:25.940,3 Apr 2025 14:21:53.664,27.724
129,4 Apr 2025 14:02:41.193,4 Apr 2025 14:02:59.452,18.258
130,4 Apr 2025 15:37:31.544,4 Apr 2025 15:37:43.837,12.294
131,5 Apr 2025 13:44:01.276,5 Apr 2025 13:44:05.239,3.963
132,5 Apr 2025 15:18:23.205,5 Apr 2025 15:18:49.624,26.419
133,6 Apr 2025 14:59:22.967,6 Apr 2025 14:59:55.411,32.444
134,7 Apr 2025 14:40:28.607,7 Apr 2025 14:41:01.198,32.592
135,8 Apr 2025 14:21:39.178,8 Apr 2025 14:22:06.986,27.808
136,9 Apr 2025 14:02:54.376,9 Apr 2025 14:03:12.774,18.397
137,9 Apr 2025 15:37:45.095,9 Apr 2025 15:37:57.160,12.065
138,10 Apr 2025 13:44:14.399,10 Apr 2025 13:44:18.561,4.163
139,10 Apr 2025 15:18:36.639,10 Apr 2025 15:19:02.947,26.308
140,11 Apr 2025 14:59:36.323,11 Apr 2025 15:00:08.735,32.412
141,12 Apr 2025 14:40:41.899,12 Apr 2025 14:41:14.523,32.624
