"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 20:52:25.451,0.000,0.437508,-153.533,-139.257800,20.000000,95.066093,19.200,52.2331,55.2434,1.000000e-30
1 Jan 2025 20:53:25.000,0.000,0.437507,-152.410,-138.134315,20.000000,96.189578,19.200,53.3566,56.3669,1.000000e-30
1 Jan 2025 20:54:25.000,0.000,0.437506,-151.304,-137.028503,20.000000,97.295390,19.200,54.4624,57.4727,1.000000e-30
1 Jan 2025 20:55:25.000,0.000,0.437504,-150.365,-136.089467,20.000000,98.234426,19.200,55.4014,58.4117,1.000000e-30
1 Jan 2025 20:56:25.000,0.000,0.437501,-149.802,-135.526602,20.000000,98.797291,19.200,55.9643,58.9746,1.000000e-30
1 Jan 2025 20:57:25.000,0.000,0.437499,-149.797,-135.521351,20.000000,98.802543,19.200,55.9695,58.9798,1.000000e-30
1 Jan 2025 20:58:25.000,0.000,0.437496,-150.351,-136.076138,20.000000,98.247755,19.200,55.4147,58.4250,1.000000e-30
1 Jan 2025 20:59:25.000,0.000,0.437494,-151.287,-137.012004,20.000000,97.311889,19.200,54.4789,57.4892,1.000000e-30
1 Jan 2025 21:00:25.000,0.000,0.437493,-152.394,-138.118685,20.000000,96.205208,19.200,53.3722,56.3825,1.000000e-30
1 Jan 2025 21:01:25.000,0.000,0.437492,-153.529,-139.253701,20.000000,95.070192,19.200,52.2372,55.2475,1.000000e-30
1 Jan 2025 21:01:30.616,0.000,0.437492,-153.634,-139.358390,20.000000,94.965503,19.200,52.1325,55.1428,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 22:24:31.993,0.000,0.437510,-153.492,-139.217225,20.000000,95.106668,19.200,52.2737,55.2840,1.000000e-30
1 Jan 2025 22:25:31.000,0.000,0.437510,-151.968,-137.692868,20.000000,96.631025,19.200,53.7980,56.8083,1.000000e-30
1 Jan 2025 22:26:31.000,0.000,0.437510,-150.107,-135.831338,20.000000,98.492555,19.200,55.6595,58.6698,1.000000e-30
1 Jan 2025 22:27:31.000,0.000,0.437510,-147.811,-133.535276,20.000000,100.788617,19.200,57.9556,60.9659,1.000000e-30
1 Jan 2025 22:28:31.000,0.000,0.437508,-144.950,-130.675115,20.000000,103.648778,19.200,60.8158,63.8261,1.000000e-30
1 Jan 2025 22:29:31.000,0.000,0.437505,-141.816,-127.540501,20.000000,106.783392,19.200,63.9504,66.9607,1.000000e-30
1 Jan 2025 22:30:31.000,0.000,0.437498,-140.880,-126.605053,20.000000,107.718840,19.200,64.8858,67.8961,1.000000e-30
1 Jan 2025 22:31:31.000,0.000,0.437493,-143.510,-129.234349,20.000000,105.089544,19.200,62.2565,65.2668,1.000000e-30
1 Jan 2025 22:32:31.000,0.000,0.437491,-146.600,-132.324364,20.000000,101.999529,19.200,59.1665,62.1768,1.000000e-30
1 Jan 2025 22:33:31.000,0.000,0.437490,-149.135,-134.859560,20.000000,99.464333,19.200,56.6313,59.6416,1.000000e-30
1 Jan 2025 22:34:31.000,0.000,0.437490,-151.171,-136.896202,20.000000,97.427691,19.200,54.5947,57.6050,1.000000e-30
1 Jan 2025 22:35:31.000,0.000,0.437490,-152.845,-138.570177,20.000000,95.753716,19.200,52.9207,55.9310,1.000000e-30
1 Jan 2025 22:36:03.290,0.000,0.437490,-153.632,-139.357026,20.000000,94.966867,19.200,52.1339,55.1442,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2025 00:02:08.628,0.000,0.437504,-153.537,-139.261363,20.000000,95.062530,19.200,52.2295,55.2398,1.000000e-30
2 Jan 2025 00:03:08.000,0.000,0.437503,-153.015,-138.739774,20.000000,95.584119,19.200,52.7511,55.7614,1.000000e-30
