"Number","Coverage Start (UTCG)","Coverage End (UTCG)","Duration (sec)","Percent"
1,1 Jan 2025 16:22:16.194,1 Jan 2025 16:25:05.378,169.184,0.000536
2,1 Jan 2025 17:56:49.803,1 Jan 2025 17:59:44.742,174.939,0.000555
3,1 Jan 2025 19:31:37.428,1 Jan 2025 19:34:36.355,178.927,0.000567
4,1 Jan 2025 21:06:25.171,1 Jan 2025 21:09:20.767,175.596,0.000557
5,1 Jan 2025 22:41:13.032,1 Jan 2025 22:44:08.597,175.565,0.000557
6,2 Jan 2025 00:15:56.647,2 Jan 2025 00:18:45.785,169.138,0.000536
7,2 Jan 2025 01:50:30.370,2 Jan 2025 01:53:25.041,174.671,0.000554
8,2 Jan 2025 03:25:17.943,2 Jan 2025 03:28:16.814,178.871,0.000567
9,2 Jan 2025 05:00:05.635,2 Jan 2025 05:03:01.173,175.538,0.000557
10,2 Jan 2025 06:34:53.445,2 Jan 2025 06:37:49.051,175.606,0.000557
11,2 Jan 2025 08:09:37.134,2 Jan 2025 08:12:36.814,179.679,0.000570
12,2 Jan 2025 09:44:17.978,2 Jan 2025 09:47:05.310,167.332,0.000531
13,2 Jan 2025 11:18:58.480,2 Jan 2025 11:21:57.236,178.756,0.000567
14,2 Jan 2025 12:53:46.121,2 Jan 2025 12:56:41.550,175.430,0.000556
15,2 Jan 2025 14:28:33.879,2 Jan 2025 14:31:29.485,175.606,0.000557
16,2 Jan 2025 16:03:17.662,2 Jan 2025 16:06:17.299,179.637,0.000570
17,2 Jan 2025 17:37:58.192,2 Jan 2025 17:38:00.280,2.088,0.000007
18,2 Jan 2025 17:38:09.755,2 Jan 2025 17:40:46.386,156.631,0.000497
19,2 Jan 2025 19:12:39.039,2 Jan 2025 19:15:37.622,178.583,0.000566
20,2 Jan 2025 20:47:26.628,2 Jan 2025 20:50:21.911,175.283,0.000556
21,2 Jan 2025 22:22:14.337,2 Jan 2025 22:25:09.898,175.562,0.000557
22,2 Jan 2025 23:56:58.227,2 Jan 2025 23:59:57.760,179.533,0.000569
23,3 Jan 2025 01:31:50.108,3 Jan 2025 01:34:39.657,169.549,0.000538
24,3 Jan 2025 03:06:19.621,3 Jan 2025 03:09:17.983,178.362,0.000566
25,3 Jan 2025 04:41:07.158,3 Jan 2025 04:44:02.247,175.089,0.000555
26,3 Jan 2025 06:15:54.815,3 Jan 2025 06:18:50.285,175.470,0.000556
27,3 Jan 2025 07:50:38.833,3 Jan 2025 07:50:40.903,2.069,0.000007
28,3 Jan 2025 07:50:41.148,3 Jan 2025 07:53:38.203,177.055,0.000561
29,3 Jan 2025 09:25:30.484,3 Jan 2025 09:28:25.999,175.515,0.000557
30,3 Jan 2025 11:00:09.591,3 Jan 2025 11:02:58.317,168.726,0.000535
31,3 Jan 2025 12:34:47.711,3 Jan 2025 12:37:51.068,183.357,0.000581
32,3 Jan 2025 14:09:35.316,3 Jan 2025 14:12:30.649,175.332,0.000556
33,3 Jan 2025 15:44:21.228,3 Jan 2025 15:47:18.621,177.394,0.000563
34,3 Jan 2025 17:19:10.883,3 Jan 2025 17:22:06.469,175.586,0.000557
35,3 Jan 2025 18:53:50.177,3 Jan 2025 18:56:38.626,168.449,0.000534
36,3 Jan 2025 20:28:28.286,3 Jan 2025 20:31:31.543,183.257,0.000581
37,3 Jan 2025 22:03:15.840,3 Jan 2025 22:06:10.992,175.152,0.000555
38,3 Jan 2025 23:38:01.444,3 Jan 2025 23:40:59.017,177.573,0.000563
39,4 Jan 2025 01:12:51.303,4 Jan 2025 01:15:46.917,175.614,0.000557
40,4 Jan 2025 02:47:39.213,4 Jan 2025 02:50:18.909,159.696,0.000506
41,4 Jan 2025 02:50:24.394,4 Jan 2025 02:50:34.697,10.302,0.000033
42,4 Jan 2025 04:22:22.796,4 Jan 2025 04:25:11.980,169.184,0.000536
43,4 Jan 2025 05:56:56.385,4 Jan 2025 05:59:51.310,174.925,0.000555
44,4 Jan 2025 07:31:44.006,4 Jan 2025 07:34:42.959,178.952,0.000567
45,4 Jan 2025 09:06:31.747,4 Jan 2025 09:09:27.341,175.595,0.000557
46,4 Jan 2025 10:41:19.605,4 Jan 2025 10:44:15.174,175.569,0.000557
47,4 Jan 2025 12:16:03.250,4 Jan 2025 12:18:52.385,169.135,0.000536
48,4 Jan 2025 13:50:36.953,4 Jan 2025 13:53:31.607,174.655,0.000554
49,4 Jan 2025 15:25:24.523,4 Jan 2025 15:28:23.416,178.893,0.000567
50,4 Jan 2025 17:00:12.212,4 Jan 2025 17:03:07.746,175.534,0.000557
51,4 Jan 2025 18:35:00.019,4 Jan 2025 18:37:55.627,175.608,0.000557
52,4 Jan 2025 20:09:43.739,4 Jan 2025 20:12:32.756,169.017,0.000536
53,4 Jan 2025 21:44:17.543,4 Jan 2025 21:47:11.876,174.333,0.000553
54,4 Jan 2025 23:19:05.061,4 Jan 2025 23:22:03.837,178.776,0.000567
55,5 Jan 2025 00:53:52.699,5 Jan 2025 00:56:48.122,175.423,0.000556
56,5 Jan 2025 02:28:40.455,5 Jan 2025 02:31:36.060,175.605,0.000557
57,5 Jan 2025 04:03:24.269,5 Jan 2025 04:06:23.876,179.608,0.000570
58,5 Jan 2025 05:38:04.697,5 Jan 2025 05:40:53.013,168.316,0.000534
59,5 Jan 2025 07:12:45.622,5 Jan 2025 07:15:44.222,178.601,0.000566
60,5 Jan 2025 08:47:33.208,5 Jan 2025 08:50:28.482,175.274,0.000556
61,5 Jan 2025 10:22:20.913,5 Jan 2025 10:25:16.468,175.555,0.000557
62,5 Jan 2025 11:57:04.835,5 Jan 2025 12:00:04.336,179.502,0.000569
63,5 Jan 2025 13:31:45.019,5 Jan 2025 13:31:47.241,2.222,0.000007
64,5 Jan 2025 13:31:56.679,5 Jan 2025 13:34:46.261,169.582,0.000538
65,5 Jan 2025 15:06:26.205,5 Jan 2025 15:09:24.583,178.378,0.000566
66,5 Jan 2025 16:41:13.739,5 Jan 2025 16:44:08.816,175.076,0.000555
67,5 Jan 2025 18:16:01.393,5 Jan 2025 18:18:56.857,175.464,0.000556
68,5 Jan 2025 19:50:45.443,5 Jan 2025 19:53:44.778,179.335,0.000569
69,5 Jan 2025 21:25:37.056,5 Jan 2025 21:28:32.577,175.521,0.000557
70,5 Jan 2025 23:00:16.199,5 Jan 2025 23:03:04.915,168.716,0.000535
71,6 Jan 2025 00:34:54.293,6 Jan 2025 00:37:49.124,174.831,0.000554
72,6 Jan 2025 02:09:41.896,6 Jan 2025 02:12:37.220,175.325,0.000556
73,6 Jan 2025 03:44:27.723,6 Jan 2025 03:47:25.196,177.473,0.000563
74,6 Jan 2025 05:19:17.456,6 Jan 2025 05:22:13.046,175.589,0.000557
