"Number","Coverage Start (UTCG)","Coverage End (UTCG)","Duration (sec)","Percent"
1,1 Jan 2025 16:25:12.784,1 Jan 2025 16:30:44.284,331.500,0.001051
2,1 Jan 2025 16:30:49.795,1 Jan 2025 16:31:29.666,39.871,0.000126
3,1 Jan 2025 17:59:55.344,1 Jan 2025 18:06:16.013,380.669,0.001207
4,1 Jan 2025 19:34:37.992,1 Jan 2025 19:39:35.803,297.811,0.000944
5,1 Jan 2025 19:39:36.975,1 Jan 2025 19:41:00.380,83.406,0.000264
6,1 Jan 2025 21:09:34.062,1 Jan 2025 21:15:43.177,369.115,0.001170
7,1 Jan 2025 22:44:16.195,1 Jan 2025 22:50:24.476,368.282,0.001168
8,2 Jan 2025 00:18:58.453,2 Jan 2025 00:25:04.064,365.611,0.001159
9,2 Jan 2025 01:53:40.826,2 Jan 2025 01:59:51.286,370.460,0.001175
10,2 Jan 2025 03:28:23.304,2 Jan 2025 03:33:54.482,331.178,0.001050
11,2 Jan 2025 03:33:59.871,2 Jan 2025 03:34:40.668,40.797,0.000129
12,2 Jan 2025 05:03:05.872,2 Jan 2025 05:09:26.788,380.916,0.001208
13,2 Jan 2025 06:37:48.529,2 Jan 2025 06:42:46.099,297.571,0.000944
14,2 Jan 2025 06:42:48.807,2 Jan 2025 06:44:10.991,82.184,0.000261
15,2 Jan 2025 08:12:44.540,2 Jan 2025 08:18:53.649,369.109,0.001170
16,2 Jan 2025 09:47:26.682,2 Jan 2025 09:53:34.794,368.111,0.001167
17,2 Jan 2025 11:22:08.952,2 Jan 2025 11:28:14.188,365.236,0.001158
18,2 Jan 2025 12:56:51.338,2 Jan 2025 13:03:02.722,371.384,0.001178
19,2 Jan 2025 14:31:33.822,2 Jan 2025 14:37:04.662,330.840,0.001049
20,2 Jan 2025 14:37:09.972,2 Jan 2025 14:37:51.646,41.674,0.000132
21,2 Jan 2025 16:06:16.401,2 Jan 2025 16:12:37.547,381.146,0.001209
22,2 Jan 2025 17:40:59.062,2 Jan 2025 17:45:56.384,297.321,0.000943
23,2 Jan 2025 17:45:59.383,2 Jan 2025 17:47:21.588,82.205,0.000261
24,2 Jan 2025 19:15:55.013,2 Jan 2025 19:22:04.100,369.087,0.001170
25,2 Jan 2025 20:50:37.174,2 Jan 2025 20:56:45.095,367.921,0.001167
26,2 Jan 2025 22:25:19.455,2 Jan 2025 22:31:24.291,364.836,0.001157
27,3 Jan 2025 00:00:01.850,3 Jan 2025 00:06:14.081,372.231,0.001180
28,3 Jan 2025 01:34:44.344,3 Jan 2025 01:40:14.823,330.479,0.001048
29,3 Jan 2025 01:40:20.097,3 Jan 2025 01:41:02.592,42.495,0.000135
30,3 Jan 2025 03:09:26.931,3 Jan 2025 03:15:48.286,381.355,0.001209
31,3 Jan 2025 04:44:09.603,3 Jan 2025 04:49:06.652,297.049,0.000942
32,3 Jan 2025 04:49:09.597,3 Jan 2025 04:50:32.176,82.579,0.000262
33,3 Jan 2025 06:19:05.495,3 Jan 2025 06:25:14.539,369.044,0.001170
34,3 Jan 2025 07:53:47.662,3 Jan 2025 07:59:55.379,367.717,0.001166
35,3 Jan 2025 09:28:29.958,3 Jan 2025 09:34:34.366,364.408,0.001156
36,3 Jan 2025 11:03:12.364,3 Jan 2025 11:09:25.377,373.013,0.001183
37,3 Jan 2025 12:37:54.866,3 Jan 2025 12:43:25.944,331.078,0.001050
38,3 Jan 2025 12:43:30.249,3 Jan 2025 12:44:13.516,43.267,0.000137
39,3 Jan 2025 14:12:37.458,3 Jan 2025 14:18:59.009,381.551,0.001210
40,3 Jan 2025 15:47:20.139,3 Jan 2025 15:47:32.200,12.061,0.000038
41,3 Jan 2025 15:47:33.933,3 Jan 2025 15:52:17.344,283.411,0.000899
42,3 Jan 2025 15:52:19.823,3 Jan 2025 15:53:42.743,82.920,0.000263
43,3 Jan 2025 17:22:15.973,3 Jan 2025 17:28:24.963,368.991,0.001170
44,3 Jan 2025 18:56:58.155,3 Jan 2025 19:03:05.643,367.488,0.001165
