                                                                              29 Jul 2021 11:15:21
FOR UNFUNDED EDUCATIONAL USE ONLY
Place-UniSMaine-To-Satellite-Cubesat:  Access Summary Report


UniSMaine-To-Cubesat
--------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Oct 2024 17:32:02.034     1 Oct 2024 17:41:10.681           548.647
                       2     1 Oct 2024 19:06:59.443     1 Oct 2024 19:19:54.004           774.561
                       3     1 Oct 2024 20:44:15.602     1 Oct 2024 20:53:35.952           560.350
                       4     2 Oct 2024 04:29:18.429     2 Oct 2024 04:34:05.142           286.712
                       5     2 Oct 2024 06:00:26.533     2 Oct 2024 06:12:51.037           744.504
                       6     2 Oct 2024 07:37:08.021     2 Oct 2024 07:48:48.426           700.405
                       7     2 Oct 2024 17:43:45.490     2 Oct 2024 17:54:06.848           621.358
                       8     2 Oct 2024 19:19:09.763     2 Oct 2024 19:31:59.026           769.263
                       9     2 Oct 2024 20:56:50.841     2 Oct 2024 21:04:51.720           480.879
                      10     3 Oct 2024 04:40:02.880     3 Oct 2024 04:47:05.437           422.558
                      11     3 Oct 2024 06:12:22.550     3 Oct 2024 06:25:05.012           762.462
                      12     3 Oct 2024 07:49:47.527     3 Oct 2024 08:00:42.500           654.973
                      13     3 Oct 2024 17:55:36.331     3 Oct 2024 18:06:51.766           675.435
                      14     3 Oct 2024 19:31:22.380     3 Oct 2024 19:43:58.395           756.015
                      15     3 Oct 2024 21:09:37.981     3 Oct 2024 21:15:51.681           373.700
                      16     4 Oct 2024 04:51:10.385     4 Oct 2024 04:59:46.650           516.264
                      17     4 Oct 2024 06:24:24.260     4 Oct 2024 06:37:16.680           772.419
                      18     4 Oct 2024 08:02:36.705     4 Oct 2024 08:12:30.667           593.961
                      19     4 Oct 2024 18:07:32.339     4 Oct 2024 18:19:27.814           715.476
                      20     4 Oct 2024 19:43:37.361     4 Oct 2024 19:55:51.999           734.638
                      21     4 Oct 2024 21:22:56.365     4 Oct 2024 21:26:16.383           200.018
                      22     5 Oct 2024 05:02:30.962     5 Oct 2024 05:12:18.659           587.697
                      23     5 Oct 2024 06:36:31.620     5 Oct 2024 06:49:26.056           774.437
                      24     5 Oct 2024 08:15:38.684     5 Oct 2024 08:24:09.993           511.309
                      25     5 Oct 2024 18:19:32.286     5 Oct 2024 18:31:56.361           744.075
                      26     5 Oct 2024 19:55:54.927     5 Oct 2024 20:07:39.573           704.647
                      27     6 Oct 2024 05:14:01.071     6 Oct 2024 05:24:44.895           643.824
                      28     6 Oct 2024 06:48:44.716     6 Oct 2024 07:01:33.061           768.345
                      29     6 Oct 2024 08:29:00.653     6 Oct 2024 08:35:33.531           392.877
                      30     6 Oct 2024 16:58:04.110     6 Oct 2024 17:03:21.311           317.200
                      31     6 Oct 2024 18:31:35.422     6 Oct 2024 18:44:18.242           762.820
                      32     6 Oct 2024 20:08:15.486     6 Oct 2024 20:19:20.635           665.149
                      33     7 Oct 2024 05:25:38.970     7 Oct 2024 05:37:06.993           688.024
                      34     7 Oct 2024 07:01:03.776     7 Oct 2024 07:13:37.485           753.709
                      35     7 Oct 2024 08:43:14.070     7 Oct 2024 08:46:10.096           176.026
                      36     7 Oct 2024 17:09:14.583     7 Oct 2024 17:16:58.317           463.735
                      37     7 Oct 2024 18:43:41.290     7 Oct 2024 18:56:33.994           772.704
                      38     7 Oct 2024 20:20:39.722     7 Oct 2024 20:30:54.414           614.692
                      39     8 Oct 2024 05:37:23.672     8 Oct 2024 05:49:25.836           722.164
                      40     8 Oct 2024 07:13:29.224     8 Oct 2024 07:25:38.954           729.730
                      41     8 Oct 2024 17:20:48.081     8 Oct 2024 17:30:07.979           559.898
                      42     8 Oct 2024 18:55:49.610     8 Oct 2024 19:08:43.929           774.319
