                                                                              29 Jul 2021 11:18:45
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Cubesat-To-Place-SSU:  Access Summary Report


Cubesat-To-SSU
--------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Oct 2024 20:48:30.086     1 Oct 2024 20:54:47.194           377.108
                       2     1 Oct 2024 22:22:09.808     1 Oct 2024 22:35:00.736           770.928
                       3     1 Oct 2024 23:59:23.837     2 Oct 2024 00:09:00.592           576.755
                       4     2 Oct 2024 09:13:21.686     2 Oct 2024 09:24:53.134           691.448
                       5     2 Oct 2024 10:49:00.437     2 Oct 2024 11:01:16.076           735.639
                       6     2 Oct 2024 20:59:44.545     2 Oct 2024 21:08:14.187           509.642
                       7     2 Oct 2024 22:34:17.603     2 Oct 2024 22:47:10.362           772.759
                       8     3 Oct 2024 00:12:02.667     3 Oct 2024 00:20:15.129           492.463
                       9     3 Oct 2024 09:25:06.198     3 Oct 2024 09:37:13.303           727.105
                      10     3 Oct 2024 11:01:31.562     3 Oct 2024 11:13:12.446           700.885
                      11     3 Oct 2024 21:11:18.838     3 Oct 2024 21:21:17.400           598.562
                      12     3 Oct 2024 22:46:28.474     3 Oct 2024 22:59:13.644           765.170
                      13     4 Oct 2024 00:24:56.306     4 Oct 2024 00:31:10.839           374.533
                      14     4 Oct 2024 08:06:20.831     4 Oct 2024 08:10:02.494           221.663
                      15     4 Oct 2024 09:36:57.756     4 Oct 2024 09:49:29.874           752.118
                      16     4 Oct 2024 11:14:11.621     4 Oct 2024 11:25:03.320           651.699
                      17     4 Oct 2024 21:23:03.818     4 Oct 2024 21:34:06.219           662.401
                      18     4 Oct 2024 22:58:42.432     4 Oct 2024 23:11:10.543           748.111
                      19     5 Oct 2024 00:38:34.782     5 Oct 2024 00:41:17.496           162.713
                      20     5 Oct 2024 08:16:44.188     5 Oct 2024 08:23:25.084           400.897
