                                                                              12 Jul 2021 13:31:38
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Cubesat-To-Place-UMaine:  Access Summary Report


Cubesat-To-UMaine
-----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Nov 2024 17:22:21.019     1 Nov 2024 17:34:45.301           744.281
                       2     1 Nov 2024 18:58:42.522     1 Nov 2024 19:10:32.722           710.200
                       3     2 Nov 2024 04:17:24.286     2 Nov 2024 04:28:17.136           652.850
                       4     2 Nov 2024 05:52:13.807     2 Nov 2024 06:05:02.251           768.444
                       5     2 Nov 2024 07:32:22.370     2 Nov 2024 07:39:13.256           410.885
                       6     2 Nov 2024 16:00:39.850     2 Nov 2024 16:06:20.191           340.341
                       7     2 Nov 2024 17:34:24.514     2 Nov 2024 17:47:07.300           762.785
                       8     2 Nov 2024 19:11:02.028     2 Nov 2024 19:22:15.327           673.299
                       9     3 Nov 2024 04:29:03.838     3 Nov 2024 04:40:38.050           694.213
                      10     3 Nov 2024 06:04:32.983     3 Nov 2024 06:17:06.976           753.994
                      11     3 Nov 2024 07:46:20.604     3 Nov 2024 07:50:05.508           224.904
                      12     3 Nov 2024 16:11:56.423     3 Nov 2024 16:19:51.655           475.232
                      13     3 Nov 2024 17:46:30.559     3 Nov 2024 17:59:23.329           772.770
                      14     3 Nov 2024 19:23:24.781     3 Nov 2024 19:33:51.120           626.339
                      15     4 Nov 2024 03:10:42.881     4 Nov 2024 03:13:27.323           164.442
                      16     4 Nov 2024 04:40:49.806     4 Nov 2024 04:52:56.062           726.256
                      17     4 Nov 2024 06:16:58.366     4 Nov 2024 06:29:08.944           730.579
                      18     4 Nov 2024 16:23:32.726     4 Nov 2024 16:32:59.075           566.350
                      19     4 Nov 2024 17:58:38.893     4 Nov 2024 18:11:33.694           774.801
                      20     4 Nov 2024 19:35:51.763     4 Nov 2024 19:45:19.028           567.265
                      21     5 Nov 2024 03:20:59.880     5 Nov 2024 03:26:52.357           352.478
                      22     5 Nov 2024 04:52:41.717     5 Nov 2024 05:05:11.607           749.890
                      23     5 Nov 2024 06:29:30.589     5 Nov 2024 06:41:07.618           697.030
                      24     5 Nov 2024 16:35:19.097     5 Nov 2024 16:45:52.351           633.254
                      25     5 Nov 2024 18:10:49.378     5 Nov 2024 18:23:38.548           769.170
                      26     5 Nov 2024 19:48:24.801     5 Nov 2024 19:56:37.135           492.334
                      27     6 Nov 2024 03:31:57.634     6 Nov 2024 03:39:40.608           462.974
                      28     6 Nov 2024 05:04:39.261     6 Nov 2024 05:17:24.911           765.650
                      29     6 Nov 2024 06:42:10.657     6 Nov 2024 06:53:02.097           651.440
                      30     6 Nov 2024 16:47:11.892     6 Nov 2024 16:58:35.330           683.438
                      31     6 Nov 2024 18:23:01.977     6 Nov 2024 18:35:37.924           755.947
                      32     6 Nov 2024 20:01:07.909     6 Nov 2024 20:07:41.334           393.425
                      33     7 Nov 2024 03:43:11.803     7 Nov 2024 03:52:16.329           544.526
                      34     7 Nov 2024 05:16:42.313     7 Nov 2024 05:29:36.094           773.782
                      35     7 Nov 2024 06:55:00.231     7 Nov 2024 07:04:50.883           590.652
                      36     7 Nov 2024 16:59:09.295     7 Nov 2024 17:11:10.017           720.722
                      37     7 Nov 2024 18:35:16.771     7 Nov 2024 18:47:31.709           734.938
                      38     7 Nov 2024 20:14:14.065     7 Nov 2024 20:18:18.550           244.485
                      39     8 Nov 2024 03:54:36.761     8 Nov 2024 04:04:45.036           608.275
                      40     8 Nov 2024 05:28:50.847     8 Nov 2024 05:41:45.152           774.305
                      41     8 Nov 2024 07:08:02.331     8 Nov 2024 07:16:31.148           508.817
                      42     8 Nov 2024 15:39:10.928     8 Nov 2024 15:40:41.652            90.724
                      43     8 Nov 2024 17:11:10.248     8 Nov 2024 17:23:37.573           747.326
                      44     8 Nov 2024 18:47:33.942     8 Nov 2024 18:59:19.682           705.740
                      45     9 Nov 2024 04:06:10.101     9 Nov 2024 04:17:09.044           658.942
                      46     9 Nov 2024 05:41:04.975     9 Nov 2024 05:53:51.984           767.009
                      47     9 Nov 2024 07:21:23.837     9 Nov 2024 07:27:56.233           392.395
                      48     9 Nov 2024 15:49:20.878     9 Nov 2024 15:55:23.725           362.847
                      49     9 Nov 2024 17:23:14.108     9 Nov 2024 17:35:58.743           764.634
                      50     9 Nov 2024 18:59:53.853     9 Nov 2024 19:11:01.407           667.553
                      51    10 Nov 2024 04:17:50.549    10 Nov 2024 04:29:29.541           698.992
                      52    10 Nov 2024 05:53:24.959    10 Nov 2024 06:05:56.374           751.415
                      53    10 Nov 2024 07:35:33.865    10 Nov 2024 07:38:37.320           183.454
                      54    10 Nov 2024 16:00:41.284    10 Nov 2024 16:08:50.762           489.478
                      55    10 Nov 2024 17:35:20.484    10 Nov 2024 17:48:13.990           773.506
                      56    10 Nov 2024 19:12:17.119    10 Nov 2024 19:22:36.213           619.094
                      57    11 Nov 2024 02:59:12.300    11 Nov 2024 03:02:33.115           200.815
                      58    11 Nov 2024 04:29:37.335    11 Nov 2024 04:41:47.214           729.880
                      59    11 Nov 2024 06:05:51.211    11 Nov 2024 06:17:57.945           726.735
                      60    11 Nov 2024 16:12:19.301    11 Nov 2024 16:21:55.909           576.608
                      61    11 Nov 2024 17:47:29.116    11 Nov 2024 18:00:23.610           774.494
                      62    11 Nov 2024 19:24:44.789    11 Nov 2024 19:34:02.938           558.149
                      63    12 Nov 2024 03:09:39.168    12 Nov 2024 03:15:48.829           369.661
                      64    12 Nov 2024 04:41:30.009    12 Nov 2024 04:54:02.454           752.445
                      65    12 Nov 2024 06:18:24.418    12 Nov 2024 06:29:56.123           691.705
                      66    12 Nov 2024 16:24:06.704    12 Nov 2024 16:34:47.630           640.925
                      67    12 Nov 2024 17:59:39.896    12 Nov 2024 18:12:27.727           767.832
                      68    12 Nov 2024 19:37:18.891    12 Nov 2024 19:45:19.481           480.590
                      69    13 Nov 2024 03:20:39.696    13 Nov 2024 03:28:34.831           475.135
                      70    13 Nov 2024 04:53:28.304    13 Nov 2024 05:06:15.476           767.172
                      71    13 Nov 2024 06:31:05.646    13 Nov 2024 06:41:49.949           644.303
                      72    13 Nov 2024 16:36:00.213    13 Nov 2024 16:47:29.404           689.191
                      73    13 Nov 2024 18:11:52.789    13 Nov 2024 18:24:26.355           753.566
                      74    13 Nov 2024 19:50:03.964    13 Nov 2024 19:56:21.187           377.223
                      75    14 Nov 2024 03:31:55.516    14 Nov 2024 03:41:09.418           553.902
                      76    14 Nov 2024 05:05:32.086    14 Nov 2024 05:18:26.382           774.296
                      77    14 Nov 2024 06:43:56.677    14 Nov 2024 06:53:37.812           581.135
                      78    14 Nov 2024 16:47:58.153    14 Nov 2024 17:00:03.066           724.913
                      79    14 Nov 2024 18:24:07.898    14 Nov 2024 18:36:19.373           731.475
                      80    14 Nov 2024 20:03:16.354    14 Nov 2024 20:06:51.634           215.280
                      81    15 Nov 2024 03:43:21.695    15 Nov 2024 03:53:37.409           615.713
