
"Minus-X_Array"

"Time (UTCG)","Power (W)","Solar Intensity"
1 Mar 2025 17:00:00.000,6.847,1.000000
1 Mar 2025 17:03:00.000,6.866,1.000000
1 Mar 2025 17:06:00.000,6.866,1.000000
1 Mar 2025 17:09:00.000,6.873,1.000000
1 Mar 2025 17:12:00.000,6.834,1.000000
1 Mar 2025 17:15:00.000,6.876,1.000000
1 Mar 2025 17:18:00.000,6.865,1.000000
1 Mar 2025 17:21:00.000,6.858,1.000000
1 Mar 2025 17:24:00.000,6.893,1.000000
1 Mar 2025 17:27:00.000,6.855,1.000000
1 Mar 2025 17:30:00.000,6.860,1.000000
1 Mar 2025 17:33:00.000,6.869,1.000000
1 Mar 2025 17:36:00.000,6.872,1.000000
1 Mar 2025 17:39:00.000,0.000,0.000000
1 Mar 2025 17:42:00.000,0.000,0.000000
1 Mar 2025 17:45:00.000,0.000,0.000000
1 Mar 2025 17:48:00.000,0.000,0.000000
1 Mar 2025 17:51:00.000,0.000,0.000000
1 Mar 2025 17:54:00.000,0.927,0.135036
1 Mar 2025 17:57:00.000,6.855,1.000000
1 Mar 2025 18:00:00.000,6.853,1.000000
1 Mar 2025 18:03:00.000,6.862,1.000000
1 Mar 2025 18:06:00.000,6.862,1.000000
1 Mar 2025 18:09:00.000,6.862,1.000000
1 Mar 2025 18:12:00.000,6.871,1.000000
1 Mar 2025 18:15:00.000,6.864,1.000000
1 Mar 2025 18:18:00.000,6.855,1.000000
1 Mar 2025 18:21:00.000,6.872,1.000000
1 Mar 2025 18:24:00.000,6.860,1.000000
1 Mar 2025 18:27:00.000,6.881,1.000000
1 Mar 2025 18:30:00.000,6.859,1.000000
1 Mar 2025 18:33:00.000,6.857,1.000000
1 Mar 2025 18:36:00.000,6.841,1.000000
1 Mar 2025 18:39:00.000,6.860,1.000000
1 Mar 2025 18:42:00.000,6.865,1.000000
1 Mar 2025 18:45:00.000,6.865,1.000000
1 Mar 2025 18:48:00.000,6.869,1.000000
1 Mar 2025 18:51:00.000,6.855,1.000000
1 Mar 2025 18:54:00.000,6.864,1.000000
1 Mar 2025 18:57:00.000,6.870,1.000000
1 Mar 2025 19:00:00.000,6.865,1.000000
1 Mar 2025 19:03:00.000,6.863,1.000000
